target_protein,target_gene,source,direct_or_indirect,biochemical_potency,potency_nM,cellular_potency,assay_type,species,action,interaction_type,citation_source,fold_vs_most_potent,plausibly_selective_concentration,clinical_exposure
,STK3,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,DYRK3,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,MAP4K4,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,SLK,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,SGK2,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PIM2,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,MAP4K5,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,MINK1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CAMK1D,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,TAOK1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,BRSK1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,LRRK2,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PIM3,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
