condition,kind,exposure_arm,mechanism,role,replicate,plate,row,column,well,animal_id,litter_id,bone_id,bone_position,is_edge_well
chlorproguanil,compound,continuous,metabolic,discovery compound,4,3,C,9,C09,L10A8,L10,L10A8-MT4-R,MT4-R,False
cinacalcet,compound,continuous,ion channel,discovery compound,1,3,C,10,C10,L11A3,L11,L11A3-MT3-R,MT3-R,False
CPI-0610,compound,continuous,epigenetic (selective probe),discovery compound,6,3,C,11,C11,L8A6,L8,L8A6-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,D,1,D01,,,,,True
acetyl-farnesyl-cysteine,compound,continuous,epigenetic (selective probe),discovery compound,3,3,D,2,D02,L8A6,L8,L8A6-MT3-L,MT3-L,False
DG-172,compound,continuous,nuclear receptor,discovery compound,5,3,D,3,D03,L10A1,L10,L10A1-MT4-R,MT4-R,False
spautin-1,compound,continuous,ubiquitin system,discovery compound,2,3,D,4,D04,L12A1,L12,L12A1-MT2-R,MT2-R,False
STA-5326,compound,continuous,growth factor / cytokine,discovery compound,5,3,D,5,D05,L12A3,L12,L12A3-MT2-R,MT2-R,False
cinacalcet,compound,continuous,ion channel,discovery compound,6,3,D,6,D06,L7A5,L7,L7A5-MT4-R,MT4-R,False
cobimetinib,compound,continuous,kinase,discovery compound,3,3,D,7,D07,L5A1,L5,L5A1-MT4-R,MT4-R,False
alexidine,compound,continuous,phosphatase,discovery compound,5,3,D,8,D08,L5A3,L5,L5A3-MT2-R,MT2-R,False
washout-only,WASHOUT CONTROL,washout + recovery,control,WASHOUT CONTROL,3,3,D,9,D09,L4A8,L4,L4A8-MT2-R,MT2-R,False
isoconazole,compound,continuous,epigenetic (selective probe),discovery compound,3,3,D,10,D10,L9A8,L9,L9A8-MT4-L,MT4-L,False
CPI-0610,compound,continuous,epigenetic (selective probe),discovery compound,4,3,D,11,D11,L8A4,L8,L8A4-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,E,1,E01,,,,,True
antiproliferative control,CYTOTOXIC CONTROL,continuous,control,CYTOTOXIC CONTROL,2,3,E,2,E02,L4A1,L4,L4A1-MT3-L,MT3-L,False
ATN-161,compound,continuous,mechanotransduction,discovery compound,3,3,E,3,E03,L1A6,L1,L1A6-MT2-L,MT2-L,False
adrenalone,compound,continuous,GPCR,discovery compound,1,3,E,4,E04,L5A4,L5,L5A4-MT4-L,MT4-L,False
GS-143,compound,continuous,ubiquitin system,discovery compound,5,3,E,5,E05,L4A3,L4,L4A3-MT3-L,MT3-L,False
acetyl-farnesyl-cysteine,compound,continuous,epigenetic (selective probe),discovery compound,5,3,E,6,E06,L3A5,L3,L3A5-MT2-L,MT2-L,False
aceclofenac,compound,continuous,GPCR,discovery compound,6,3,E,7,E07,L14A8,L14,L14A8-MT3-R,MT3-R,False
glasdegib,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,3,3,E,8,E08,L14A3,L14,L14A3-MT2-L,MT2-L,False
DG-172,compound,continuous,nuclear receptor,discovery compound,6,3,E,9,E09,L5A2,L5,L5A2-MT3-R,MT3-R,False
mycophenolate-mofetil,compound,continuous,phosphatase,discovery compound,5,3,E,10,E10,L13A7,L13,L13A7-MT3-R,MT3-R,False
cilnidipine,compound,continuous,ion channel,discovery compound,5,3,E,11,E11,L4A2,L4,L4A2-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,F,1,F01,,,,,True
GW-3965,compound,continuous,nuclear receptor,discovery compound,6,3,F,2,F02,L13A4,L13,L13A4-MT4-L,MT4-L,False
mycophenolate-mofetil,compound,continuous,phosphatase,discovery compound,4,3,F,3,F03,L12A6,L12,L12A6-MT4-R,MT4-R,False
aloxistatin,compound,continuous,protease,discovery compound,5,3,F,4,F04,L11A2,L11,L11A2-MT4-L,MT4-L,False
hypoestoxide,compound,continuous,growth factor / cytokine,discovery compound,3,3,F,5,F05,L8A8,L8,L8A8-MT3-L,MT3-L,False
SP-141,compound,continuous,ubiquitin system,discovery compound,2,3,F,6,F06,L2A5,L2,L2A5-MT4-L,MT4-L,False
F351,compound,continuous,growth factor / cytokine,discovery compound,6,3,F,7,F07,L3A4,L3,L3A4-MT2-R,MT2-R,False
cobimetinib,compound,continuous,kinase,discovery compound,1,3,F,8,F08,L10A5,L10,L10A5-MT2-L,MT2-L,False
odanacatib,compound,continuous,protease,discovery compound,6,3,F,9,F09,L3A7,L3,L3A7-MT2-R,MT2-R,False
efinaconazole,compound,continuous,epigenetic (selective probe),discovery compound,4,3,F,10,F10,L12A4,L12,L12A4-MT2-L,MT2-L,False
STA-5326,compound,continuous,growth factor / cytokine,discovery compound,6,3,F,11,F11,L6A7,L6,L6A7-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,G,1,G01,,,,,True
beta-hydroxy-beta-methylbutyrate,compound,continuous,kinase,discovery compound,1,3,G,2,G02,L2A1,L2,L2A1-MT3-L,MT3-L,False
acrivastine,compound,continuous,GPCR,discovery compound,5,3,G,3,G03,L6A5,L6,L6A5-MT2-L,MT2-L,False
BMS-587101,compound,continuous,mechanotransduction,discovery compound,5,3,G,4,G04,L8A7,L8,L8A7-MT4-L,MT4-L,False
VLX600,compound,continuous,ubiquitin system,discovery compound,4,3,G,5,G05,L13A7,L13,L13A7-MT3-L,MT3-L,False
isoconazole,compound,continuous,epigenetic (selective probe),discovery compound,4,3,G,6,G06,L14A8,L14,L14A8-MT2-R,MT2-R,False
antiproliferative control,CYTOTOXIC CONTROL,continuous,control,CYTOTOXIC CONTROL,4,3,G,7,G07,L4A3,L4,L4A3-MT2-R,MT2-R,False
itacitinib,compound,continuous,kinase,discovery compound,2,3,G,8,G08,L10A5,L10,L10A5-MT4-R,MT4-R,False
alogliptin,compound,continuous,protease,discovery compound,6,3,G,9,G09,L7A8,L7,L7A8-MT3-R,MT3-R,False
carglumic-acid,compound,continuous,metabolic,discovery compound,1,3,G,10,G10,L2A5,L2,L2A5-MT3-R,MT3-R,False
metolazone,compound,continuous,transporter,discovery compound,4,3,G,11,G11,L8A5,L8,L8A5-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,B,1,B01,,,,,True
alexidine,compound,continuous,phosphatase,discovery compound,2,4,B,2,B02,L14A6,L14,L14A6-MT3-L,MT3-L,False
latrunculin-B,compound,continuous,mechanotransduction,discovery compound,4,4,B,3,B03,L13A6,L13,L13A6-MT4-L,MT4-L,False
BMS-587101,compound,continuous,mechanotransduction,discovery compound,2,4,B,4,B04,L11A3,L11,L11A3-MT4-L,MT4-L,False
halofuginone,compound,continuous,matrix remodeling,discovery compound,6,4,B,5,B05,L8A1,L8,L8A1-MT2-R,MT2-R,False
carglumic-acid,compound,continuous,metabolic,discovery compound,3,4,B,6,B06,L6A1,L6,L6A1-MT4-R,MT4-R,False
AS-1949490,compound,continuous,phosphatase,discovery compound,3,4,B,7,B07,L13A2,L13,L13A2-MT3-R,MT3-R,False
escitalopram,compound,continuous,transporter,discovery compound,6,4,B,8,B08,L5A1,L5,L5A1-MT2-L,MT2-L,False
itacitinib,compound,continuous,kinase,discovery compound,1,4,B,9,B09,L9A2,L9,L9A2-MT4-R,MT4-R,False
trofinetide,compound,continuous,growth factor / cytokine,discovery compound,2,4,B,10,B10,L8A3,L8,L8A3-MT2-R,MT2-R,False
chlorproguanil,compound,continuous,metabolic,discovery compound,6,4,B,11,B11,L7A1,L7,L7A1-MT4-L,MT4-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,C,1,C01,,,,,True
escitalopram,compound,continuous,transporter,discovery compound,3,4,C,2,C02,L9A7,L9,L9A7-MT4-L,MT4-L,False
benzbromarone,compound,continuous,ion channel,discovery compound,6,4,C,3,C03,L13A6,L13,L13A6-MT4-R,MT4-R,False
benzethonium,compound,continuous,ion channel,discovery compound,3,4,C,4,C04,L12A4,L12,L12A4-MT4-R,MT4-R,False
doxycycline,compound,continuous,protease,discovery compound,4,4,C,5,C05,L11A6,L11,L11A6-MT3-L,MT3-L,False
tacrolimus,compound,continuous,phosphatase,discovery compound,5,4,C,6,C06,L9A3,L9,L9A3-MT2-L,MT2-L,False
camostat-mesilate,compound,continuous,protease,discovery compound,3,4,C,7,C07,L5A8,L5,L5A8-MT4-L,MT4-L,False
ambroxol,compound,continuous,ion channel,discovery compound,4,4,C,8,C08,L3A3,L3,L3A3-MT2-R,MT2-R,False
alexidine,compound,continuous,phosphatase,discovery compound,6,4,C,9,C09,L4A1,L4,L4A1-MT2-L,MT2-L,False
aminopentamide,compound,continuous,GPCR,discovery compound,5,4,C,10,C10,L14A2,L14,L14A2-MT3-R,MT3-R,False
tacrolimus,compound,continuous,phosphatase,discovery compound,1,4,C,11,C11,L6A8,L6,L6A8-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,D,1,D01,,,,,True
GS-143,compound,continuous,ubiquitin system,discovery compound,4,4,D,2,D02,L11A4,L11,L11A4-MT2-L,MT2-L,False
EW-7197,compound,continuous,growth factor / cytokine,discovery compound,1,4,D,3,D03,L4A3,L4,L4A3-MT4-L,MT4-L,False
firategrast,compound,continuous,mechanotransduction,discovery compound,6,4,D,4,D04,L11A5,L11,L11A5-MT3-L,MT3-L,False
vehicle,VEHICLE,continuous,control,VEHICLE,1,4,D,5,D05,L6A6,L6,L6A6-MT4-L,MT4-L,False
pirfenidone,compound,continuous,growth factor / cytokine,discovery compound,5,4,D,6,D06,L12A2,L12,L12A2-MT2-R,MT2-R,False
lenalidomide,compound,continuous,growth factor / cytokine,discovery compound,3,4,D,7,D07,L3A3,L3,L3A3-MT4-L,MT4-L,False
cyclovalone,compound,continuous,transporter,discovery compound,2,4,D,8,D08,L4A8,L4,L4A8-MT4-L,MT4-L,False
GW-3965,compound,continuous,nuclear receptor,discovery compound,5,4,D,9,D09,L13A7,L13,L13A7-MT4-L,MT4-L,False
benserazide,compound,continuous,metabolic,discovery compound,4,4,D,10,D10,L13A7,L13,L13A7-MT4-R,MT4-R,False
cilastatin,compound,continuous,protease,discovery compound,3,4,D,11,D11,L14A4,L14,L14A4-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,E,1,E01,,,,,True
cilengitide,compound,continuous,mechanotransduction,discovery compound,5,4,E,2,E02,L2A4,L2,L2A4-MT2-R,MT2-R,False
cilnidipine,compound,continuous,ion channel,discovery compound,6,4,E,3,E03,L1A7,L1,L1A7-MT2-R,MT2-R,False
VLX600,compound,continuous,ubiquitin system,discovery compound,3,4,E,4,E04,L14A1,L14,L14A1-MT2-L,MT2-L,False
hypoestoxide,compound,continuous,growth factor / cytokine,discovery compound,2,4,E,5,E05,L1A1,L1,L1A1-MT3-R,MT3-R,False
azelnidipine,compound,continuous,ion channel,discovery compound,1,4,E,6,E06,L14A2,L14,L14A2-MT4-L,MT4-L,False
chlorogenic-acid,compound,continuous,transporter,discovery compound,1,4,E,7,E07,L4A4,L4,L4A4-MT4-L,MT4-L,False
tacrolimus,compound,continuous,phosphatase,discovery compound,6,4,E,8,E08,L3A1,L3,L3A1-MT2-R,MT2-R,False
alogliptin,compound,continuous,protease,discovery compound,5,4,E,9,E09,L1A2,L1,L1A2-MT4-L,MT4-L,False
NAB-2,compound,continuous,ubiquitin system,discovery compound,6,4,E,10,E10,L13A6,L13,L13A6-MT2-R,MT2-R,False
acipimox,compound,continuous,metabolic,discovery compound,5,4,E,11,E11,L8A5,L8,L8A5-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,F,1,F01,,,,,True
escitalopram,compound,continuous,transporter,discovery compound,2,4,F,2,F02,L8A3,L8,L8A3-MT3-L,MT3-L,False
cyclovalone,compound,continuous,transporter,discovery compound,4,4,F,3,F03,L13A6,L13,L13A6-MT3-L,MT3-L,False
NAB-2,compound,continuous,ubiquitin system,discovery compound,1,4,F,4,F04,L13A6,L13,L13A6-MT2-L,MT2-L,False
efinaconazole,compound,continuous,epigenetic (selective probe),discovery compound,1,4,F,5,F05,L4A5,L4,L4A5-MT3-R,MT3-R,False
SMER-28,compound,continuous,lysosomal / autophagy,discovery compound,4,4,F,6,F06,L3A3,L3,L3A3-MT3-L,MT3-L,False
CPI-0610,compound,continuous,epigenetic (selective probe),discovery compound,1,4,F,7,F07,L4A1,L4,L4A1-MT4-R,MT4-R,False
adiphenine,compound,continuous,GPCR,discovery compound,1,4,F,8,F08,L8A4,L8,L8A4-MT4-L,MT4-L,False
spautin-1,compound,continuous,ubiquitin system,discovery compound,1,4,F,9,F09,L11A1,L11,L11A1-MT3-L,MT3-L,False
benzethonium,compound,continuous,ion channel,discovery compound,2,4,F,10,F10,L2A8,L2,L2A8-MT3-L,MT3-L,False
camostat-mesilate,compound,continuous,protease,discovery compound,1,4,F,11,F11,L8A5,L8,L8A5-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,G,1,G01,,,,,True
fumagillin,compound,continuous,protease,discovery compound,6,4,G,2,G02,L10A6,L10,L10A6-MT3-R,MT3-R,False
pralmorelin,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,6,4,G,3,G03,L13A1,L13,L13A1-MT4-R,MT4-R,False
adiphenine,compound,continuous,GPCR,discovery compound,2,4,G,4,G04,L7A7,L7,L7A7-MT2-R,MT2-R,False
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,control,ASSAY-SENSITIVITY CONTROL,1,4,G,5,G05,L11A6,L11,L11A6-MT2-L,MT2-L,False
vehicle,VEHICLE,continuous,control,VEHICLE,2,4,G,6,G06,L12A7,L12,L12A7-MT4-R,MT4-R,False
efinaconazole,compound,continuous,epigenetic (selective probe),discovery compound,2,4,G,7,G07,L10A6,L10,L10A6-MT4-L,MT4-L,False
DG-172,compound,continuous,nuclear receptor,discovery compound,4,4,G,8,G08,L1A1,L1,L1A1-MT4-R,MT4-R,False
alogliptin,compound,continuous,protease,discovery compound,1,4,G,9,G09,L2A8,L2,L2A8-MT2-R,MT2-R,False
benserazide,compound,continuous,metabolic,discovery compound,3,4,G,10,G10,L2A2,L2,L2A2-MT4-L,MT4-L,False
aloxistatin,compound,continuous,protease,discovery compound,4,4,G,11,G11,L6A2,L6,L6A2-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,4,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,B,1,B01,,,,,True
futibatinib,compound,continuous,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,1,5,B,2,B02,L10A8,L10,L10A8-MT3-L,MT3-L,False
vehicle,VEHICLE,continuous,control,VEHICLE,6,5,B,3,B03,L7A6,L7,L7A6-MT3-R,MT3-R,False
ketoconazole,compound,continuous,epigenetic (selective probe),discovery compound,5,5,B,4,B04,L8A1,L8,L8A1-MT3-L,MT3-L,False
DY131,compound,continuous,GPCR,ASSAY CONTROL ONLY - canonical pathway,3,5,B,5,B05,L3A6,L3,L3A6-MT3-L,MT3-L,False
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,control,TRADE-OFF BENCHMARK,6,5,B,6,B06,L4A3,L4,L4A3-MT4-R,MT4-R,False
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,control,ASSAY-SENSITIVITY CONTROL,2,5,B,7,B07,L1A7,L1,L1A7-MT4-L,MT4-L,False
maprotiline,compound,continuous,transporter,discovery compound,6,5,B,8,B08,L2A2,L2,L2A2-MT3-L,MT3-L,False
cinacalcet,compound,continuous,ion channel,discovery compound,4,5,B,9,B09,L9A8,L9,L9A8-MT3-L,MT3-L,False
doxycycline,compound,continuous,protease,discovery compound,6,5,B,10,B10,L9A5,L9,L9A5-MT3-L,MT3-L,False
acebutolol,compound,continuous,GPCR,discovery compound,5,5,B,11,B11,L6A6,L6,L6A6-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,C,1,C01,,,,,True
encorafenib,compound,continuous,kinase,discovery compound,3,5,C,2,C02,L1A8,L1,L1A8-MT3-R,MT3-R,False
entacapone,compound,continuous,epigenetic (selective probe),discovery compound,5,5,C,3,C03,L3A6,L3,L3A6-MT4-R,MT4-R,False
GW-3965,compound,continuous,nuclear receptor,discovery compound,2,5,C,4,C04,L9A1,L9,L9A1-MT4-R,MT4-R,False
beta-hydroxy-beta-methylbutyrate,compound,continuous,kinase,discovery compound,4,5,C,5,C05,L5A6,L5,L5A6-MT2-L,MT2-L,False
cilnidipine,compound,continuous,ion channel,discovery compound,3,5,C,6,C06,L3A8,L3,L3A8-MT3-L,MT3-L,False
benzethonium,compound,continuous,ion channel,discovery compound,6,5,C,7,C07,L5A1,L5,L5A1-MT2-R,MT2-R,False
fumagillin,compound,continuous,protease,discovery compound,2,5,C,8,C08,L3A6,L3,L3A6-MT4-L,MT4-L,False
omecamtiv-mecarbil,compound,continuous,mechanotransduction,discovery compound,2,5,C,9,C09,L2A5,L2,L2A5-MT4-R,MT4-R,False
cilnidipine,compound,continuous,ion channel,discovery compound,2,5,C,10,C10,L6A7,L6,L6A7-MT4-L,MT4-L,False
aceclofenac,compound,continuous,GPCR,discovery compound,2,5,C,11,C11,L1A1,L1,L1A1-MT4-L,MT4-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,D,1,D01,,,,,True
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,control,ASSAY-SENSITIVITY CONTROL,5,5,D,2,D02,L5A5,L5,L5A5-MT2-R,MT2-R,False
latrunculin-B,compound,continuous,mechanotransduction,discovery compound,5,5,D,3,D03,L4A7,L4,L4A7-MT2-L,MT2-L,False
trapidil,compound,continuous,kinase,discovery compound,6,5,D,4,D04,L9A1,L9,L9A1-MT4-L,MT4-L,False
diacerein,compound,continuous,growth factor / cytokine,discovery compound,3,5,D,5,D05,L13A4,L13,L13A4-MT3-R,MT3-R,False
omecamtiv-mecarbil,compound,continuous,mechanotransduction,discovery compound,4,5,D,6,D06,L1A5,L1,L1A5-MT2-R,MT2-R,False
tacrolimus,compound,continuous,phosphatase,discovery compound,2,5,D,7,D07,L11A6,L11,L11A6-MT4-L,MT4-L,False
F351,compound,continuous,growth factor / cytokine,discovery compound,3,5,D,8,D08,L7A8,L7,L7A8-MT4-R,MT4-R,False
halofuginone,compound,continuous,matrix remodeling,discovery compound,4,5,D,9,D09,L13A3,L13,L13A3-MT3-L,MT3-L,False
lesinurad,compound,continuous,transporter,discovery compound,5,5,D,10,D10,L7A5,L7,L7A5-MT2-R,MT2-R,False
firategrast,compound,continuous,mechanotransduction,discovery compound,4,5,D,11,D11,L2A6,L2,L2A6-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,E,1,E01,,,,,True
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,control,TRADE-OFF BENCHMARK,5,5,E,2,E02,L5A7,L5,L5A7-MT2-L,MT2-L,False
NAB-2,compound,continuous,ubiquitin system,discovery compound,5,5,E,3,E03,L12A4,L12,L12A4-MT3-L,MT3-L,False
azelnidipine,compound,continuous,ion channel,discovery compound,3,5,E,4,E04,L14A6,L14,L14A6-MT4-L,MT4-L,False
acrivastine,compound,continuous,GPCR,discovery compound,4,5,E,5,E05,L9A5,L9,L9A5-MT3-R,MT3-R,False
mycophenolate-mofetil,compound,continuous,phosphatase,discovery compound,1,5,E,6,E06,L4A4,L4,L4A4-MT4-R,MT4-R,False
lesinurad,compound,continuous,transporter,discovery compound,2,5,E,7,E07,L14A8,L14,L14A8-MT3-L,MT3-L,False
diacerein,compound,continuous,growth factor / cytokine,discovery compound,5,5,E,8,E08,L3A5,L3,L3A5-MT2-R,MT2-R,False
antiproliferative control,CYTOTOXIC CONTROL,continuous,control,CYTOTOXIC CONTROL,5,5,E,9,E09,L7A7,L7,L7A7-MT2-L,MT2-L,False
sodium-stibogluconate,compound,continuous,phosphatase,discovery compound,1,5,E,10,E10,L14A2,L14,L14A2-MT4-R,MT4-R,False
neuropathiazol,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,6,5,E,11,E11,L11A4,L11,L11A4-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,F,1,F01,,,,,True
acrivastine,compound,continuous,GPCR,discovery compound,3,5,F,2,F02,L4A7,L4,L4A7-MT3-R,MT3-R,False
SP-141,compound,continuous,ubiquitin system,discovery compound,3,5,F,3,F03,L1A2,L1,L1A2-MT3-R,MT3-R,False
