compound,role,intended_node,why_audited,chembl_id,smiles,max_phase,non_protein_records_dropped,n_activity_records,n_distinct_targets,assay_formats,node_biochemical_potency_nM,node_biochemical_n,node_cellular_potency_nM,node_cellular_n,node_mouse_potency_nM,node_mouse_n,node_human_potency_nM,node_human_n,species_gap_fold,species_gap_measurable,targets_under_1uM,targets_under_100nM,best_on_node_potency_nM,strongest_offtarget,strongest_offtarget_potency_nM,genome_wide_selectivity_fold,most_potent_target_overall,most_potent_target_potency_nM,primary_target_is_intended_node,node_within_10x_of_primary,top5_targets_by_potency,ROCK1_potency_nM,ROCK1_n,ROCK2_potency_nM,ROCK2_n,rock_isoform_ratio_1_over_2,LIMK1_potency_nM,LIMK1_n,LIMK2_potency_nM,LIMK2_n,audit_status,compound_status,covalent_warhead_substructure,reversibility_call,target_residence_time
LIMKI-3,COMPARATOR,LIMK,LIMK tool compound,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
BMS-5,COMPARATOR,LIMK,LIMK tool compound,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
TH-257,COMPARATOR,LIMK,allosteric LIMK1/2 chemical probe,CHEMBL4790618,CCCCN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,,4,28,7.0,biochemical,15.5,24.0,,0.0,,0.0,15.5,24.0,,False,3.0,2.0,15.386000000000001,Epidermal growth factor receptor,10000.0,649.94,LIM domain kinase 2,15.386000000000001,True,True,LIM domain kinase 2 15.39 nM; LIM domain kinase 1 83.8 nM; LIM domain kinase 1/2 257 nM; Epidermal growth factor receptor 1e+04 nM; Tyrosine-protein kinase SYK 1e+04 nM,,0.0,,0.0,,83.8,14.0,15.386000000000001,10.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
DAMNACANTHAL,COMPARATOR,LIMK,natural-product LIMK inhibitor,CHEMBL212948,COc1c(C=O)c(O)cc2c1C(=O)c1ccccc1C2=O,,4,8,3.0,biochemical,800.0,5.0,,0.0,,0.0,800.0,5.0,,False,2.0,1.0,800.0,Tyrosine-protein kinase Lck,17.0,0.02,Tyrosine-protein kinase Lck,17.0,False,False,"Tyrosine-protein kinase Lck 17 nM; LIM domain kinase 1 800 nM; LIM domain kinase 2 1,500 nM",,0.0,,0.0,,800.0,3.0,1503.0,2.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
CRT0105446,COMPARATOR,LIMK,LIMK tool compound,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
DASATINIB,COMPARATOR,SRC,SRC/ABL dual - polypharmacology check,CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,4.0,540,1472,520.0,ADMET; biochemical; functional/cellular,0.20400000000000001,75.0,0.3162,1.0,0.8576000000000001,2.0,0.21,71.0,0.24,True,93.0,62.0,0.025800000000000003,Bcr/Abl fusion protein,0.03,1.16,Proto-oncogene tyrosine-protein kinase Src,0.025800000000000003,True,True,Proto-oncogene tyrosine-protein kinase Src 0.0258 nM; Bcr/Abl fusion protein 0.03 nM; Tyrosine-protein kinase ABL1 0.039 nM; Ephrin type-B receptor 6 0.039 nM; Proto-oncogene tyrosine-protein kinase LCK 0.064 nM,7047.656,3.0,7047.656,3.0,1.0,72.60499999999999,10.0,86.0,7.0,audited,NARROW_SELECTIVITY - only 1.2x over the strongest off-target,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
SARACATINIB,COMPARATOR,SRC,SRC-family-directed,CHEMBL217092,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,3.0,408,338,296.0,biochemical; functional/cellular,2.7,25.0,76.0,1.0,,0.0,2.7,26.0,,False,28.0,13.0,2.35,Receptor-interacting serine/threonine-protein kinase 2,2.0,0.85,Receptor-interacting serine/threonine-protein kinase 2,2.0,False,True,Receptor-interacting serine/threonine-protein kinase 2 2 nM; Tyrosine-protein kinase Yes 2.35 nM; Proto-oncogene tyrosine-protein kinase Src 2.7 nM; Tyrosine-protein kinase Lck 4 nM; Activin receptor type-1 4 nM,30000.0,1.0,30000.0,1.0,1.0,30000.0,1.0,30000.0,1.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
PP2,COMPARATOR,SRC,classic SRC-family tool,CHEMBL2268748,CC(=O)O[C@@H]1[C@H](O)[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@@]3(C)[C@H](C45CC(O)OC4O5)C[C@@H]4O[C@@]43[C@]12C,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,C1OC1,electrophilic substructure present - covalent/irreversible action must be excluded experimentally,NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
A-419259,COMPARATOR,SRC,SRC-family-selective tool,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
ECF506,COMPARATOR,SRC,reported SRC-selective sparing ABL,CHEMBL3824089,COc1cc(-c2nn(CCN3CCC(N(C)C)CC3)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,,1,28,15.0,biochemical,0.53,12.0,,0.0,,0.0,0.53,12.0,,False,15.0,10.0,0.5,Tyrosine-protein kinase FRK,10.0,20.0,Tyrosine-protein kinase Yes,0.5,True,True,Tyrosine-protein kinase Yes 0.5 nM; Proto-oncogene tyrosine-protein kinase Src 0.56 nM; Tyrosine-protein kinase Fyn 2.1 nM; Tyrosine-protein kinase Blk 10 nM; Tyrosine-protein kinase FRK 10 nM,,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
IMATINIB,COMPARATOR,ABL,ABL/KIT/PDGFR without SRC - the discriminator,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.0,718,1600,534.0,ADMET; biochemical; functional/cellular,13.0,202.0,50.12,1.0,27.120000000000005,7.0,13.0,196.0,0.48,True,42.0,20.0,10.0,Epithelial discoidin domain-containing receptor 1,0.7,0.07,Epithelial discoidin domain-containing receptor 1,0.7,False,False,Epithelial discoidin domain-containing receptor 1 0.7 nM; Platelet-derived growth factor receptor alpha 3.7 nM; Breakpoint cluster region protein 7 nM; Tyrosine-protein kinase ABL2 10 nM; Macrophage colony-stimulating factor 1 receptor 10.7 nM,6009.496,3.0,7047.656,3.0,0.85,4758.323,4.0,10000.0,3.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
PONATINIB,COMPARATOR,ABL,multi-kinase ABL inhibitor,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,4.0,763,440,297.0,ADMET; biochemical; toxicity,0.3,50.0,,0.0,,0.0,0.302,53.0,,False,64.0,47.0,0.307,Receptor-type tyrosine-protein kinase FLT3,0.04,0.13,Receptor-type tyrosine-protein kinase FLT3,0.04,False,True,Receptor-type tyrosine-protein kinase FLT3 0.04 nM; Tyrosine-protein kinase HCK 0.11 nM; Tyrosine-protein kinase Lyn 0.184 nM; Tyrosine-protein kinase Lck 0.28 nM; Tyrosine-protein kinase ABL1 0.307 nM,30000.0,1.0,30000.0,1.0,1.0,30000.0,1.0,30000.0,1.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
PF-00562271,COMPARATOR,FAK,FAK-directed,CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,1.0,676,466,348.0,ADMET; biochemical; functional/cellular,1.1,13.0,0.631,1.0,,0.0,1.0,14.0,,False,82.0,24.0,1.0,Protein kinase C theta type,1.0,1.0,Focal adhesion kinase 1,1.0,True,True,Focal adhesion kinase 1 1 nM; Protein kinase C theta type 1 nM; Protein-tyrosine kinase 2-beta 2.986 nM; Serine/threonine-protein kinase 26 12 nM; Proto-oncogene tyrosine-protein kinase ROS 12.59 nM,4795.734,2.0,4795.734,2.0,1.0,5846.052000000001,2.0,30000.0,1.0,audited,NARROW_SELECTIVITY - only 1.0x over the strongest off-target,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
DEFACTINIB,COMPARATOR,FAK,clinical FAK inhibitor,CHEMBL3137331,CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,3.0,32,335,294.0,biochemical,0.5,21.0,,0.0,,0.0,0.5,21.0,,False,25.0,9.0,0.5,Protein-tyrosine kinase 2-beta,0.2,0.4,Protein-tyrosine kinase 2-beta,0.2,False,True,Protein-tyrosine kinase 2-beta 0.2 nM; Focal adhesion kinase 1 0.5 nM; Cyclin-dependent kinase-like 5 16 nM; Adenosine receptor A3 27 nM; Tyrosine-protein kinase JAK2 28.21 nM,30000.0,1.0,30000.0,1.0,1.0,30000.0,1.0,30000.0,1.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
