active_ingredient,nct_id,title,status,phase,conditions,min_age,max_age,paediatric,primary_outcomes,secondary_outcomes,growth_outcome_measured,growth_outcome_is_primary
LOPERAMIDE,NCT01391962,Sunitinib or Cediranib for Alveolar Soft Part Sarcoma,COMPLETED,PHASE2,"Sarcoma, Alveolar Soft Part",16 Years,120 Years,True,Part I: Objective Response Rate (ORR) of Single-agent Cediranib in Participants With Advanced Alveolar Soft Part Sarcoma (ASPS); Part I: Objective Response Rate (ORR) of Single-agent Sunitinib in Participants With Advanced Alveolar Soft Part Sarcoma (ASPS); Part II: Objective Response Rate (ORR) of ,Maximum Observed Plasma Concentration of Cediranib; Percentage of Participants With Progression-free Survival (PFS) at 24 Weeks for Participants Receiving Single-agent Cediranib and Single-agent Sunitinib Malate in Participants With Advanced ASPS During Part I; Number of Participants With Serious an,False,False
LOPERAMIDE,NCT00401388,A Trial of Perifosine in Patients With Chemo-Insensitive Sarcomas,COMPLETED,PHASE2,Chondrosarcomas; Alveolar Soft Part Sarcomas; Extra Skeletal Myxoid Chondrosarcomas,13 Years,,True,Response rate,Best overall response; Stable disease of six months or greater,False,False
LOPERAMIDE,NCT02354768,Evaluation of Lanreotide Efficacity in High Output Stoma: a Multicentric Randomized Study,TERMINATED,PHASE3,High Output Stoma,18 Years,,False,Number of ileostomy bags used per day,Number of ileostomy bags used per day; Blood urea and creatinine rates; Length of stay; Serious adverse events,True,False
IVACAFTOR,NCT01614457,Study of Ivacaftor in Subjects With Cystic Fibrosis (CF) Who Have the R117H-CF Transmembrane Conductance Regulator (CFTR) Mutation (KONDUCT),COMPLETED,PHASE3,Cystic Fibrosis,6 Years,,True,Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 24,Change From Baseline in Body Mass Index (BMI) at Week 24; Change From Baseline in Sweat Chloride Through Week 24; Change From Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score Through Week 24; Time to First Pulmonary Exacerbation; Number of Subjects With Adverse Even,False,False
IVACAFTOR,NCT03278314,Tezacaftor/Ivacaftor Combination Therapy Expanded Access Program for Patients 12 Years of Age and Older With Cystic Fibrosis,APPROVED_FOR_MARKETING,,Cystic Fibrosis,12 Years,,True,,,False,False
IVACAFTOR,NCT03068312,A Study to Evaluate Efficacy of Ivacaftor in Subjects With Cystic Fibrosis Who Have a 3849 + 10KB C→T or D1152H CFTR Mutation,COMPLETED,PHASE3,Cystic Fibrosis,6 Years,,True,Change in Lung Clearance Index 2.5 (LCI2.5),,False,False
IVACAFTOR,NCT02412111,"A Phase 3 Study of Tezacaftor (VX-661) in Combination With Ivacaftor (VX-770) in Subjects Aged 12 Years and Older With Cystic Fibrosis (CF), Who Have One F508de",COMPLETED,PHASE3,Cystic Fibrosis,12 Years,,True,Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 8,Relative Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 8; Absolute Change in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score From Baseline Through Week 8; Absolute Change From Baseline in Sweat Chloride Through Week 8; Numbe,False,False
IVACAFTOR,NCT02392234,A Phase 3 Study to Evaluate the Efficacy and Safety of Ivacaftor and VX-661 in Combination With Ivacaftor in Subjects Aged 12 Years and Older With Cystic Fibros,COMPLETED,PHASE3,Cystic Fibrosis,12 Years,,True,Absolute Change From Study Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (ppFEV1) at Average of Week 4 and Week 8,Absolute Change From Study Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score at Average of Week 4 and Week 8; Number of Participants With Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs); Relative Change From Study Baseline in ppFEV1 at Avera,False,False
IVACAFTOR,NCT03475381,Real-life Follow-up of Cystic Fibrosis Patients Treated With Ivacaftor+Lumacaftor (Orkambi*),COMPLETED,,Cystic Fibrosis,12 Years,,True,Rates of treatment discontinuation; Timing of treatment discontinuation; Causes of treatment discontinuation,Forced expiratory volume in 1 sec (FEV1); Forced vital capacity (FVC); Body mass index; Pulmonary exacerbations; Chloride concentration,False,False
IVACAFTOR,NCT01381289,VX-770 Expanded Access Program,APPROVED_FOR_MARKETING,,Cystic Fibrosis,6 Years,,True,,,False,False
IVACAFTOR,NCT02730208,"A Study to Evaluate the Effect of VX-661 in Combination With Ivacaftor on Chest Imaging Endpoints in Subjects With Cystic Fibrosis, Homozygous for the F508del C",COMPLETED,PHASE2,Cystic Fibrosis,12 Years,,True,Absolute Change in Total Brody/CF-CT Score,Number of Participants With Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs),False,False
IVACAFTOR,NCT02516410,"A Study to Evaluate the Efficacy and Safety of VX-661 in Combination With Ivacaftor in Subjects Aged 12 Years and Older With Cystic Fibrosis, Heterozygous for t",COMPLETED,PHASE3,Cystic Fibrosis,12 Years,,True,Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 12,Absolute Change From Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score Through Week 12; Number of Pulmonary Exacerbation Events; Number of Pulmonary Exacerbation Events Per Year; Absolute Change From Baseline in Body Mass Index (BMI) at Week 12; Relative Change From ,False,False
IVACAFTOR,NCT00953706,Study of Ivacaftor in Cystic Fibrosis Subjects Aged 12 Years and Older Homozygous for the F508del-CFTR Mutation,TERMINATED,PHASE2,Cystic Fibrosis,12 Years,,True,Part A : Absolute Change From Part A Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (ppFEV1) Through Week 16,Part A : Absolute Change From Part A Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score Through Week 16; Part A : Absolute Change From Part A Baseline in Sweat Chloride Concentration Through Week 16; Part A : Rate of Change From Baseline in Weight Through Week 16; Par,False,False
IVACAFTOR,NCT02390219,Study to Evaluate Lumacaftor and Ivacaftor Combination Therapy in Subjects 12 Years and Older With Advanced Lung Disease,COMPLETED,PHASE3,Cystic Fibrosis; Advanced Lung Disease,12 Years,,True,Number of Participants With Treatment Emergent Adverse Events (AEs) or Serious Adverse Events (SAEs),Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Up to Week 24; Absolute Change From Baseline in Forced Expiratory Volume in 1 Second (FEV1) Up to Week 24; Duration For Which Participants Received Intravenous (IV) Antibiotics; Number of Hospitalizations;,False,False
IVACAFTOR,NCT01897233,"Study of Lumacaftor in Combination With Ivacaftor in Subjects 6 Through 11 Years of Age With Cystic Fibrosis, Homozygous for the F508del-CFTR Mutation",COMPLETED,PHASE3,Cystic Fibrosis,6 Years,11 Years,True,Part A: Observed Plasma Concentration of Lumacaftor (LUM) and Ivacaftor (IVA) at Hour 4 Post-dose (C4h) on Day 1; Part A: Observed Plasma Concentration of Lumacaftor (LUM) and Ivacaftor (IVA) at Hour 4 Post-dose (C4h) on Day 14; Part A: Area Under the Plasma Concentration-Time Curve From Time 0 to E,Part A: Observed Plasma Concentration of Lumacaftor Metabolite (M28-LUM) and Ivacaftor Metabolites (M1-IVA and M6-IVA) at Hour 4 Post-dose (C4h) on Day 1 and 14; Part A: Number of Participants With Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs); Part B: Average Absolute Ch,True,False
IVACAFTOR,NCT01161537,Study of the Effect of VX-770 on Hyperpolarized Helium-3 Magnetic Resonance Imaging in Subjects With Cystic Fibrosis and the G551D Mutation,COMPLETED,PHASE2,Cystic Fibrosis,12 Years,,True,Part A: Change From Baseline in Total Ventilation Defect Defined by Hyperpolarized Helium 3 Magnetic Resonance Imaging (3He-MRI) at Day 43; Part B: Change From Baseline in Total Ventilation Defect Defined by Hyperpolarized Helium 3 Magnetic Resonance Imaging (3He-MRI) at Week 48,"Part A: Number of Participants With Adverse Events (AEs), Serious Adverse Events (SAEs) and Related AEs; Part A: Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) at Day 43; Part A: Absolute Change From Baseline in Sweat Chloride at Day 43; Part A: Absolute Change",False,False
IVACAFTOR,NCT05599230,Daily Monitoring of Respiratory Symptoms and Spirometry During ETI Treatment in Persons With Cystic Fibrosis.,UNKNOWN,,Cystic Fibrosis,12 Years,,True,FEV1 changes from baseline (3 days before treatment) to Day 14 under ETI,Respiratory symptoms score changes from baseline (3 days before treatment) to Day 14 under ETI,False,False
IVACAFTOR,NCT01946412,Roll-Over Study of Ivacaftor in Cystic Fibrosis Pediatric Subjects With a CF Transmembrane Conductance Regulator Gene (CFTR) Gating Mutation,COMPLETED,PHASE3,Cystic Fibrosis,2 Years,,True,Number of Participants With Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs),"Absolute Change From Baseline of Parent Study in Sweat Chloride at Week 24, 48, 72 and 84; Absolute Change From Baseline of Study 109 in Sweat Chloride at Week 24, 48, 72 and 84; Absolute Change From Baseline of Parent Study in Weight at Week 12, 24, 36, 48, 60, 72 and 84; Absolute Change From Basel",True,False
IVACAFTOR,NCT02514473,"A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Ivacaftor in Subjects With CF, Homozygous for the F508del-CFTR Mutation",COMPLETED,PHASE3,Cystic Fibrosis,6 Years,11 Years,True,Absolute Change From Baseline in Lung Clearance Index 2.5 (LCI2.5) Through Week 24,Average Absolute Change From Baseline in Sweat Chloride at Day 15 and Week 4; Absolute Change From Baseline in Body Mass Index (BMI) at Week 24; Absolute Change From Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score Through Week 24; Absolute Change From Baseline in L,True,False
IVACAFTOR,NCT03512119,Observational Study of Glucose Tolerance Abnormalities in Patient With Cystic Fibrosis Homozygous for Phe 508 Del CFTR Treated by Lumacaftor-Ivacaftor,COMPLETED,,Cystic Fibrosis Homozygous for Phe 508 Del CFTR; Glucose Intolerance or Newly Diagnosis Diabetes,12 Years,,True,"Measure of 2 hours plasma glucose value (mmol/l) of OGTT, change from baseline at one year of Lumacaftor-Ivacaftor treatment","Fasting and one hour glucose value of OGTT (mmol/l); C peptide and insulin values at T0, 1 , 2 hours of OGTT (µg/l); Glucose, insulin and C peptide AUC of OGTT (µU/L); HOMA -R , HOMA-S; Mean glucose value per day and 2 h after meal (mg/dl); Duration in hypoglycemic area [hypo CGM = 2 consecutive val",False,False
IVACAFTOR,NCT01931839,A Phase 3 Rollover Study of Lumacaftor in Combination With Ivacaftor in Subjects 12 Years and Older With Cystic Fibrosis,COMPLETED,PHASE3,"Cystic Fibrosis, Homozygous or Heterozygous for the F508del-CFTR Mutation",12 Years,,True,Part A Treatment Cohort: Number of Participants With Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs); Part B Treatment Cohort: Number of Participants With Treatment-Emergent AEs and SAEs,"Part A Treatment Cohort: Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) At Day 15, Week 8, 16, 24, 36, 48, 60 and 72; Part B Treatment Cohort: Absolute Change From Baseline in Percent Predicted FEV1 at Day 15, Week 8, 16, 24, 36, 48, 60 and 72; Part A ",False,False
IVACAFTOR,NCT02871778,Clearing Lungs With ENaC Inhibition in Primary Ciliary Dyskinesia,COMPLETED,PHASE2,Primary Ciliary Dyskinesia,12 Years,,True,Part A: Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Serious TEAEs; Part B: Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Serious TEAEs; Part A: Absolute Change From Study Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (ppF,Part A: Change From Study Baseline in Quality of Life-Primary Ciliary Dyskinesia (QOL-PCD) (Adult Version) Lower Respiratory Symptoms Domain Score at Day 29; Part B: Change From Study Baseline in Quality of Life-Primary Ciliary Dyskinesia (QOL-PCD) (Adult Version) Lower Respiratory Symptoms Domain S,False,False
IVACAFTOR,NCT00909532,Study of Ivacaftor in Cystic Fibrosis Subjects Aged 12 Years and Older With the G551D Mutation,COMPLETED,PHASE3,Cystic Fibrosis,12 Years,,True,Absolute Mean Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 24,"Absolute Mean Change From Baseline in Percent Predicted FEV1 Through Week 48; Absolute Change From Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Score Through Week 24 and Week 48 (Respiratory Domain Score, Pooled); Absolute Change From Baseline in Sweat Chloride Concentration Through Wee",False,False
IVACAFTOR,NCT04006873,Gut Imaging for Function & Transit in Cystic Fibrosis Study 2,COMPLETED,PHASE2,Cystic Fibrosis,12 Years,40 Years,True,Oro-caecal Transit Time,Gastric volume; Small bowel water content (corrected for body surface area); Colonic volume (corrected for body surface area); Gastrointestinal symptoms,False,False
IVACAFTOR,NCT01807923,A Study of Lumacaftor in Combination With Ivacaftor in Cystic Fibrosis Subjects Aged 12 Years and Older Who Are Homozygous for the F508del-CFTR Mutation,COMPLETED,PHASE3,"Cystic Fibrosis, Homozygous for the F508del CFTR Mutation",12 Years,,True,Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) at Week 24,Relative Change From Baseline in Percent Predicted FEV1 at Week 24; Absolute Change From Baseline in Body Mass Index (BMI) at Week 24; Absolute Change From Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score at Week 24; Percentage of Participants With Response Based on,False,False
IVACAFTOR,NCT02194881,Ivacaftor in French Patients With Cystic Fibrosis and a G551D Mutation,COMPLETED,,Cystic Fibrosis,6 Years,,True,FEV1 (in liters and in % predicted),pulmonary exacerbations; number of hospitalizations and number of days of hospitalization per year; number of antibiotic treatments and number of days of antibiotic treatments; respiratory colonization; nutritional status; Adverse events,False,False
IVACAFTOR,NCT02347657,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of VX-661 in Combination With Ivacaftor",COMPLETED,PHASE3,Cystic Fibrosis,12 Years,,True,Absolute Change From Baseline (Day 1) in Percent Predicted Forced Expiratory Volume in 1 Second (ppFEV1) Through Week 24,Relative Change From Baseline (Day 1) in ppFEV1 Through Week 24; Number of Pulmonary Exacerbations Per Year; Absolute Change From Baseline (Day 1) Body Mass Index (BMI) at Week 24; Absolute Change From Baseline (Day 1) in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score Through,False,False
IVACAFTOR,NCT01707290,Rollover Study of Ivacaftor in Subjects With Cystic Fibrosis and a Non G551D CFTR Mutation,COMPLETED,PHASE3,Cystic Fibrosis,6 Years,,True,Number of Participants With Treatment Emergent Adverse Events (TEAEs) or Serious Adverse Events (SAEs) in Ivacaftor Arm,"Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) at Week 2, 12, 24, 36, 48, 60, 72, 84, 96, and 104; Absolute Change From Baseline in Body Mass Index (BMI) at Week 2,12, 24, 36, 48, 60, 72, 84, 96 and 104; Absolute Change From Baseline in Sweat Chloride ",False,False
IVACAFTOR,NCT04732910,Modulate-CF: Cystic Fibrosis Transmembrane Regulator (CFTR) Biomarker Study to Evaluate the Rescue of Mutant CFTR in Patients With Cystic Fibrosis Treated With ,RECRUITING,,Cystic Fibrosis,6 Months,,True,Intestinal current measurement (ICM),Forced expiratory volume in 1 second (FEV1); Nasal potential Difference (NPD); Sweat chloride; Lung clearance index (LCI); Lung magnetic resonance imaging (MRI); Lung computer tomography; Paranasal sinus magnetic resonance imaging (MRI); Fecal elastase; Weight; Airway Microbiome; Sputum Elasticity; ,False,False
IVACAFTOR,NCT05576324,Effect of the CFTR-modulating Triple Therapy Elexacaftor - Tezacaftor - Ivacaftor,UNKNOWN,,Cystic Fibrosis,6 Years,,True,Peripheral Blood Immunograms; Peripheral Blood Immunograms,"Shear Wave Velocity (SWV); Shear Wave Velocity (SWV); Attenuation Coefficient (AC); Attenuation Coefficient (AC); Serum bile acids; Serum bile acids; Respiratory function test (FEV1, FVC); Respiratory function test (FEV1, FVC); Blood cell count; Blood cell count; Erythrocytoid hemoglobin A1c; Erythr",False,False
IVACAFTOR,NCT01784419,Short Term Effects of Ivacaftor in Non-G551D Cystic Fibrosis Patients,COMPLETED,NA,Cystic Fibrosis,6 Years,,True,Sweat Chloride Concentration,Spirometry; Multibreath Washout Testing,False,False
IVACAFTOR,NCT04509050,Study to Evaluate Biological & Clinical Effects of Significantly Corrected CFTR Function in Infants & Young Children,RECRUITING,,Cystic Fibrosis,,10 Years,False,Part A Primary Outcome Measure: Change in weight-for-age z-scores; Part A Primary Outcome Measure: Change in height-for-age z-scores; Part B Primary Outcome Measure: Change in weight-for-age z-scores; Part B Primary Outcome Measure: Change in height-for-age z-scores,,True,True
IVACAFTOR,NCT01685801,Pilot Study Testing the Effect of Ivacaftor on Lung Function in Subjects With Cystic Fibrosis and Residual CFTR Function,COMPLETED,PHASE2,Cystic Fibrosis,12 Years,,True,Cycle 1 and Cycle 2: Absolute Change From Cycle Baseline In Percent Predicted Forced Expiratory Volume In 1 Second (FEV1) After 2 Weeks of Treatment,Cycle 1 and Cycle 2: Absolute Change From Cycle Baseline In Lung Clearance Index (LCI) After 2 Weeks of Treatment; Open-label Period: Absolute Change From Open-label Baseline In Percent Predicted Forced Expiratory Volume In 1 Second (FEV1) at Day 57; Open-label Period: Absolute Change From Open-labe,False,False
IVACAFTOR,NCT01614470,Study of Ivacaftor in Subjects With Cystic Fibrosis (CF) Who Have a Non-G551D CF Transmembrane Conductance Regulator (CFTR) Gating Mutation,COMPLETED,PHASE3,Cystic Fibrosis,6 Years,,True,Part 1: Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 8; Part 2: Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through 24 Weeks of Treatment (Week 36 Visit),Part 1: Change From Baseline in Body Mass Index (BMI) at Week 8; Part 2: Change From Baseline in Body Mass Index (BMI) at 24 Weeks of Treatment (Week 36 Visit); Part 1: Change From Baseline in Sweat Chloride Through Week 8; Part 2: Change From Baseline in Sweat Chloride Through 24 Weeks of Treatment,False,False
IVACAFTOR,NCT00909727,Study of Ivacaftor in Cystic Fibrosis Subjects Aged 6 to 11 Years With the G551D Mutation,COMPLETED,PHASE3,Cystic Fibrosis,6 Years,11 Years,True,Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 24,"Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Through Week 48; Absolute Change From Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Through Week 24 and Week 48 (Respiratory Domain Score, Children); Absolute Change From Baseline in Sweat Chlo",False,False
IVACAFTOR,NCT02742519,A Study to Evaluate Efficacy and Safety of Ivacaftor in Subjects With Cystic Fibrosis Aged 3 Through 5 Years Who Have a Specified CFTR Gating Mutation,TERMINATED,PHASE3,Cystic Fibrosis,3 Years,5 Years,True,Absolute Change From Baseline in Lung Clearance Index (LCI2.5) Through 8 Weeks of Treatment (Average of Week 4 and Week 8 LCI2.5),Absolute Change From Baseline in Immunoreactive Trypsinogen Levels at Week 8; Absolute Change From Baseline in Fecal Elastase-1 Levels at Week 8; Absolute Change From Baseline in Weight at Week 8; Absolute Change From Baseline in Body Mass Index (BMI) at Week 8; Number of Subjects With Adverse Event,False,False
IVACAFTOR,NCT01807949,A Study of Lumacaftor in Combination With Ivacaftor in Cystic Fibrosis Subjects Aged 12 Years and Older Who Are Homozygous for the F508del-CFTR Mutation,COMPLETED,PHASE3,"Cystic Fibrosis, Homozygous for the F508del CFTR Mutation",12 Years,65 Years,True,Absolute Change From Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) at Week 24,Relative Change From Baseline in Percent Predicted FEV1 at Week 24; Absolute Change From Baseline in Body Mass Index (BMI) at Week 24; Absolute Change From Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score at Week 24; Percentage of Participants With Response Based on,False,False
IVACAFTOR,NCT05699148,Gut Imaging for Function and Transit in Cystic Fibrosis 3 Junior,UNKNOWN,,Cystic Fibrosis,6 Years,11 Years,True,Delta Small Bowel Water (DeltaSBW),Small bowel water content; Liver volume; Liver elastography; Lung ventilation,False,False
AMINO ACIDS,NCT06913621,The Use of High Bile-Binding Foods to Reduce Upper Gastrointestinal Bile Acid Concentrations (Aim 3),NOT_YET_RECRUITING,,Feeding Difficulties; Gastrostomy; Aspiration,5 Years,21 Years,True,total hospitalization and emergency room visits rates,"differences in pulmonary, gastrointestinal or ICU admission rates; differences in bile acid concentrations; correlations between microbial abundance and diversity and hospitalization and emergency room visit rates; differences in metagenomic patterns between diets; correlations between admission rat",False,False
AMINO ACIDS,NCT02379598,Effect of Therapy With Aminoacid Based Formula Versus Hydrolyzed Whey Proteins in Children With Cow's Milk Allergy,COMPLETED,,Cow's Milk Allergy,5 Months,12 Months,True,change of z-score weight at 12 months,change of body mass index at 12 months,False,False
AMINO ACIDS,NCT06652698,Early Supplementation for Cow's Milk Allergy Prevention,NOT_YET_RECRUITING,NA,Food Allergy; Cow's Milk Allergy,,24 Hours,False,A cumulative incidence of cow's milk allergy confirmed by open oral food challenge,A cumulative incidence of sensitization to cow's milk protein (cut-off levels for specific IgE level ≥0.35 allergen units [UA/mL] and ≥3 mm of wheal size in the skin prick test against cow's milk; A point prevalence of cow's milk allergy confirmed by open oral food challenge; An incidence of sensiti,True,False
AMINO ACIDS,NCT02575170,Amino Acid Infusion in Mothers Before and During Cesarean Delivery,COMPLETED,NA,Hypothermia,,,False,neonatal rectal temperature; neonatal rectal temperature; neonatal rectal temperature,APGAR score of newborn; number of newborn with adequate suckling reflex; scale assessing the discomfort related to cold sensation in mother; number of mothers who developed shivering; length of hospital stay of mother; length of hospital stay of newborn; change in maternal rectal temperature compare,True,False
AMINO ACIDS,NCT04127656,Infants Fed an Amino Acid-based Formula,TERMINATED,NA,Food Allergy,,12 Months,False,Food Allergy Symptom Improvement,Time to Symptom Resolution or Reduction; Change in Length; Change in Weight; Study Formula Intake,True,False
AMINO ACIDS,NCT01860404,BCAA Supplementation for Concussion,COMPLETED,PHASE2,Brain Concussion,11 Years,34 Years,True,Reaction Time Difference Between Drug and Placebo Groups,Clinical Symptoms; Return to Physical Activity Baseline; Neurocognitive Recovery-- Attention; Compliance and Adherence to Treatment; Tolerability of BCAA's Based on Adverse Events; Safety and BCAA Supplementation; Neurocognitive Recovery-- Working Memory; Neurocognitive Recovery-- Visual Memory; Ret,False,False
AMINO ACIDS,NCT01584245,Evaluation of the Efficacy of an Amino Acid Based Formula in Infants,TERMINATED,NA,Cow's Milk Allergy,1 Month,12 Months,True,Weight gain,Allergic manifestations,False,False
AMINO ACIDS,NCT01940068,A Double-blind Randomized Controlled Trial of a Thickened Amino-acid-based Formula in Children Allergic to Cow's Milk and to Protein Hydrolysates,COMPLETED,NA,Cow Milk Allergy,2 Weeks,18 Months,True,Number of withdrawal for intolerance,,False,False
AMINO ACIDS,NCT07459504,SMART Diets for MASLD,RECRUITING,PHASE2,Metabolic-dysfunction Associated Steatotic Liver Disease,11 Years,17 Years,True,Change in hepatic steatosis,Change in fasting triglyceride; Change in HDL; Change in VLDL-triglyceride; Change in Waist circumference; Change in body weight; Change in BMI Z Score; Change in Alanine Aminotransferase (ALT); Aspartate Aminotransferase (AST); Gamma glutamyl transferase (GGT); Systolic blood pressure; Diastolic bl,False,False
AMINO ACIDS,NCT04425642,Effects of Parenteral Nutrition in HSCT,COMPLETED,NA,Hematologic Malignancy,2 Years,,True,Number of patients with low tolerability of different parenteral nutrition schemes in HSCT According CTCAE ver. 5.0,Changes in body weight in HSCT depending on nutritional support approach; Changes in body mass index in HSCT depending on nutritional support approach; Changes in body composition in HSCT depending on nutritional support approach; Changes in resting energy expenditure in HSCT depending on nutritiona,False,False
AMINO ACIDS,NCT06133231,Optimizing Research With Diverse Families - Feasibility and Acceptability Study (FAST),RECRUITING,NA,Attention Deficit/Hyperactivity Disorder; Emotional Dysfunction; Irritable Mood,6 Years,17 Years,True,Feasibility measured by count of consumed multinutrients; Abbreviated Acceptability Rating Profile - 7 questions on a 6-point Likert scale,Feasibility of Capillary Blood Collection; Acceptability of Capillary Blood Collection; Feasibility of Collecting 24-hour Urine; Acceptability of Collecting 24-hour Urine; Child and Adolescent Symptom Inventory (CASI-5); Clinical Global Impression - Improvement (CGI-I); Clinical Global Impression - ,False,False
AMINO ACIDS,NCT00187811,The Safety and Efficacy of Photodynamic Therapy for Femoral Artery Stenosis,UNKNOWN,PHASE2; PHASE3,Atherosclerotic Narrowing of the Superficial Femoral Artery; Atherosclerotic Occlusion of the Superficial Femoral Artery,0 Years,,True,"Death; Procedural complications (occlusion, haematoma); Arterial complications: aneursym, thrombus; Surgical revascularisation (Emergency/Elective); Repeat PTA; Limb loss","Reccurence of claudication; > 50% loss of initial lumen gain on duplex scanning; PSVR > 2.0; Fall in ABPI; Measured Pre procedure, at 24h then at 1, 3 and 6 months.; A final follow up is planned at 3-5 years",False,False
TIOTROPIUM BROMIDE,NCT02066298,Steroids In Eosinophil Negative Asthma,COMPLETED,PHASE3,Asthma,12 Years,,True,"Pairwise Comparison of Treatments Based on Composite Measure Using Treatment Failures, Asthma Control Days, and Percent Predicted FEV1.",Treatment Failure; Annualized Asthma Control Days; Forced Expiratory Volume at One Second (FEV1) Percent of Predicted; Peak Expiratory Flow Rate; Asthma Exacerbations,False,False
TIOTROPIUM BROMIDE,NCT01383499,A Study to Evaluate Efficacy and Safety of Tiotropium in Children 6 to 11 Years Old With Moderate Asthma,COMPLETED,PHASE2,Asthma,6 Years,11 Years,True,Forced Expiratory Volume (FEV1) Peak (0-3h) Response,Trough FEV1 Response; Forced Vital Capacity (FVC) Peak (0-3h) Response; FVC Trough Response; FEV1 Area Under the Curve From 0 to 3 h (AUC0-3h) Response; FVC Area Under the Curve From 0 to 3 h (AUC0-3h) Response; Mean Morning Peak Expiratory Flow (PEF) Response; Mean Evening PEF Response; Change From,False,False
TIOTROPIUM BROMIDE,NCT01634139,Efficacy and Safety of 2 Doses of Tiotropium Respimat® Compared to Placebo in Children With Moderate Persistent Asthma,COMPLETED,PHASE3,Asthma,6 Years,11 Years,True,FEV1 Peak (0-3h) Change From Baseline,Trough FEV1 Change From Baseline; FEV1 Peak (0-3h) at Week 48 Change From Baseline; FEV1 AUC (0-3h) Change From Baseline; FEV1 Change From Baseline at Each Individual Timepoint; FVC Peak(0-3h) Change From Baseline; Trough FVC Change From Baseline; FVC AUC (0-3h) Change From Baseline; FVC Change From,False,False
PANCRELIPASE,NCT01865695,Creon Use in Coeliac Patients With Low Faecal Pancreatic Elastase,TERMINATED,PHASE4,Patients With Coeliac Disease and Chronic Diarrhoea (>3 Loose/ Liquid Motions a Day for More Than 4 Weeks); Patients With Pancreatic Exocrine Insufficiency,16 Years,,True,Stool frequency in patients with low faecal pancreatic elastase following six weeks of treatment,Quality of life; body mass index,False,False
PANCRELIPASE,NCT00432861,Evaluation of the Safety and Efficacy of Pancrecarb® MS-16 in Cystic Fibrosis,COMPLETED,PHASE3,Cystic Fibrosis; Pancreatic Insufficiency,7 Years,,True,percent coefficient of fat absorption (% CFA),percent coefficient of nitrogen absorption (% CNA); change in stool frequency and stool weight,False,False
