mouse_gene,human_gene,pmid,pmcid,doi,year,journal,title,discovered_by,figure,source_quotation,full_text_status,species,age,sex,bone,anatomical_location,method,method_named_in,probe_or_antibody_id,reagent_validation,knockout_negative_control,genetic_reporter,signal_resting,signal_proliferative,signal_prehypertrophic,signal_hypertrophic,signal_terminal_hypertrophic,signal_perichondrial,signal_non_chondrocyte,qualitative_intensity,quantified,localization_directly_visible,zone_call_source,excluded_context,n_zones_named,localization_intent_cue,genotype_cue_also_present,evidence_level,zone_pattern,n_independent_sources,pattern_replicates
Runx2,RUNX2,40993116,PMC12460606,10.1038/s41413-025-00459-4,2025,Bone research,Mechanism of Piezo1 regulating chondrocyte mitochondrial function and promoting fracture healing through β-catenin/LARS2 signaling pathway.,EPMC_targeted,Fig. 8,"j IF staining was used to detect the expression levels of osteogenic markers OPN and RUNX2 in hypertrophic chondrocytes of callus in each group 14 days after femoral fracture, scale = 625 μm (up) and 100 μm (down), n = 5. red fluorescence: RUNX2 expression level.",FULL_TEXT_VERIFIED,mouse,12-week-old,male,femoral,growth plate,immunohistochemistry; immunofluorescence,figure caption,,,False,True,False,False,False,True,False,False,,,False,True,figure caption,,1,RUNX2 expression,False,LEVEL_B,000100,1,False
Runx2,RUNX2,37296099,PMC10256685,10.1038/s41419-023-05875-0,2023,Cell death & disease,Xylosyltransferase I mediates the synthesis of proteoglycans with long glycosaminoglycan chains and controls chondrocyte hypertrophy and collagen fibers organization of in the growth plate.,EPMC_targeted,Fig. 3,F – H In situ mRNA hybridization analysis of Ihh and ( I – K ) of Runx2 at E15.5 and E18.5 assessed by RNAscope on sections of proximal humerus growth plate of XylT-I/KO and wild-type embryos ( H and K higher magnification of resting and proliferative zones of the growth plate of wild-type and XylT-I/KO at E18.5).,FULL_TEXT_VERIFIED,mouse; human; zebrafish,E14.5,,humerus,growth plate,RNAscope,figure caption,,,False,True,False,True,False,False,False,False,,,False,True,figure caption,,1,In situ mRNA hybridization analysis of Ihh and ( I – K ) of Runx2,False,LEVEL_B,010000,1,False
Runx2,RUNX2,42111267,PMC13152850,10.3389/fcell.2026.1770176,2026,Frontiers in cell and developmental biology,Branch site mutated mice revealed distinct roles of two Runx2 isoforms in bone development.,EPMC_targeted,FIGURE 7,"Histological analysis of Runx2 -br wt/wt and Runx2 -br mut/mut newborns. (A–H) H-E staining (A–D) and immunohistochemical analysis using anti-Runx2 antibody (E–H) of femoral sections from Runx2 -br wt/wt and Runx2 -br mut/mut mice. (I) Quantification of femur length, black bidirectional arrow line in (A,C) , length of bone marrow, yellow bidirectional arrow line in (A,C) and Runx2-positive cells in the primary spongiosa. The number of mice analyzed: n = 9 in H-E staining, n = 4 in Runx2 immunostaining. *Versus Runx2 +/+ or Runx2 -br wt/wt mice, # Versus Runx2 -br wt/mut mice. *Versus Runx2 -br wt/wt mice, *p &lt;",FULL_TEXT_VERIFIED,mouse,,,femur,femoral section,immunohistochemistry; immunofluorescence,figure caption,,,False,False,False,True,True,True,True,True,osteoblast; marrow,strong; weak,True,True,body text,,5,Runx2 immunostaining,False,LEVEL_C,011111,1,False
Runx2,RUNX2,40866708,PMC12460174,10.1038/s41586-025-09399-9,2025,Nature,The evolution of hominin bipedalism in two steps.,EPMC_targeted,Extended Data Fig. 1,"RUNX2 , an osteoblast marker, is expressed internally and along the perichondrium (Pe) at ossification sites in mice and NHPs (bottom). COMP , PTH1R , COL10A1 are expressed along the transversely oriented growth plate, while RUNX2 is expressed along the perichondrium, illustrating delayed internal ossification (bottom).",FULL_TEXT_VERIFIED,mouse; human,E45,,femur,growth plate,spatial transcriptomics,methods section,,,False,False,False,False,False,False,False,True,osteoblast,moderate,False,True,figure caption,,1,RUNX2 is expressed,False,LEVEL_C,000001,1,False
Sox9,SOX9,37172728,PMC10267520,10.1016/j.jbc.2023.104805,2023,The Journal of biological chemistry,Hes1 marks peri-condensation mesenchymal cells that generate both chondrocytes and perichondrial cells in early bone development.,EPMC_targeted,Figure 2,"F , Cartilage-perichondrium immunostaining for SOX9, osterix (OSX), MYH3 and EMCN.",FULL_TEXT_VERIFIED,mouse,E10.5,male,femur,growth plate,immunofluorescence; lineage tracing,figure caption,,,False,True,False,False,False,False,False,True,,strong,True,True,figure caption,,1,immunostaining for SOX9,False,LEVEL_A,000001,2,True
Sox9,SOX9,40581360,PMC12685720,10.1093/jbmr/zjaf086,2025,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,Early determination of the dorsal-ventral axis in endochondral ossification in mice.,EPMC_targeted,Figure 2,"The contribution of spatiotemporally specific embryonic Sox9-creER -targeted cells to long-bone development. (A-C) SOX9 immunostaining of Sox9 CE -tomato + cells in the limb buds of Sox9-creER ; (D) Quantitative analysis of Sox9 CE -tomato + cells in cartilage (left) and perichondrium (right) at E13.5. The proportion of Sox9 CE -tomato + cells in both areas increases from E8.5 to E10.5 and declines by E12.5. (E, F) Sox9 CE -tomato + cells in the long bones of mice induced at E10.5 and analyzed at P21 (E) and 3M (F). Sox9 CE -tomato + cells persist in the growth plate cartilage and cortical bone at both stages, demonstrating their long-term contribution to skeletal development.",FULL_TEXT_VERIFIED,mouse,E8.5,male,,growth plate,immunofluorescence; lineage tracing,figure caption,,,False,True,False,False,False,False,False,True,,strong,True,True,figure caption,,1,SOX9 immunostaining,False,LEVEL_A,000001,2,True
Sox9,SOX9,38346197,PMC10895259,10.1073/pnas.2316969121,2024,Proceedings of the National Academy of Sciences of the United States of America,Skeletal growth is enhanced by a shared role for SOX8 and SOX9 in promoting reserve chondrocyte commitment to columnar proliferation.,EPMC_targeted,Fig. 6.,"SOX8 is more stable than SOX9. ( A ) SOX9 and FLAG immunostaining (red signals) of tibia proximal GPs of mice treated with tamoxifen at P21-P24 and analyzed 1 wk later. ( B ) SOX8 and SOX9 levels in extracts from tibia and femur epiphyses of P12 R26 SOX8/SOX9 Acan CreER pups (n = 5) treated with tamoxifen at P10-P11. ( C ) SOX8 and SOX9 protein decay in RCS cells treated without or with 5 µg/mL cycloheximide (CHX) for 0 to 8 h. Left , western blots hybridized with SOX8 antibodies recognizing SOX8 and SOX9, and GAPDH antibodies. Right , quantification of SOX8/SOX9 protein levels. ( D ) SOX8 and SOX9 levels in cells treated without or with 10 µM MG132 for 4 h. ( E ) SOX8 and SOX9 levels in cells treated without or with 20 mM LiCl for 24 h.",FULL_TEXT_VERIFIED,mouse,P21,,tibia,epiphyses,immunofluorescence; lineage tracing,figure caption,,,False,True,True,True,True,False,False,True,,strong; weak,True,True,body text,,4,SOX9 protein,False,LEVEL_A,111001,1,False
Sox9,SOX9,37172728,PMC10267520,10.1016/j.jbc.2023.104805,2023,The Journal of biological chemistry,Hes1 marks peri-condensation mesenchymal cells that generate both chondrocytes and perichondrial cells in early bone development.,EPMC_targeted,Figure 6,"First, these cells translocate into the cartilage template and directly differentiate into Sox9 + chondrocytes and then contribute to bone formation (chondrocyte-dependent pathway). These Hes1+ perichondrial cells translocate into the nascent marrow space and directly differentiate into marrow mesenchymal cells by bypassing a Sox9+ state (chondrocyte-independent pathway).",FULL_TEXT_VERIFIED,mouse; rat,e2,male,,growth plate,lineage tracing,methods section,,,False,True,False,False,False,False,False,True,,strong,False,True,figure caption,,1,Sox9 + chondrocytes,False,LEVEL_B,000001,2,True
Sox9,SOX9,37296099,PMC10256685,10.1038/s41419-023-05875-0,2023,Cell death & disease,Xylosyltransferase I mediates the synthesis of proteoglycans with long glycosaminoglycan chains and controls chondrocyte hypertrophy and collagen fibers organization of in the growth plate.,EPMC_targeted,Fig. 3,"L In situ mRNA hybridization analysis of Sox9, Col2a1 and Acan assessed by RNAscope on sections of proximal humerus growth plate of XylT-I/KO and wild-type embryos at E15.5.",FULL_TEXT_VERIFIED,mouse; human; zebrafish,E14.5,,humerus,growth plate,RNAscope,figure caption,,,False,True,False,False,False,False,False,False,,,False,True,not resolved,,0,In situ mRNA hybridization analysis of Sox9,False,LEVEL_B,000000,2,True
Sox9,SOX9,40866708,PMC12460174,10.1038/s41586-025-09399-9,2025,Nature,The evolution of hominin bipedalism in two steps.,EPMC_targeted,Extended Data Fig. 1,"a , In EARLY-stage non-human primates (NHP) and mice, the ilium (cartilage in blue) is oriented longitudinally (top), with resting zone (RZ) marker UCMA and early proliferating marker PTH1R positioned at the cranial end, while SOX9 , an early chondrocyte marker, is expressed throughout the cranio-caudal ilium (bottom, section). In cross-section, SOX9 is expressed bilaterally along the AP axis, followed by PTH1R , which gets restricted to the anterior pole.",FULL_TEXT_VERIFIED,mouse; human,E45,,femur,growth plate,spatial transcriptomics,methods section,,,False,False,True,False,False,False,False,False,,,False,True,figure caption,,1,SOX9 is expressed,False,LEVEL_C,100000,3,True
Sox9,SOX9,38885336,PMC11290974,10.1172/jci170369,2024,The Journal of clinical investigation,The IFITM5 mutation in osteogenesis imperfecta type V is associated with an ERK/SOX9-dependent osteoprogenitor differentiation defect.,EPMC_targeted,Figure 7,"Expression of the mutant Ifitm5 allele leads to altered spatiotemporal expression of SOX9. SOX9 RPPA signal intensity was increased in calvaria protein extract from mice overexpressing mutant Ifitm5 , as compared with mice overexpressing wild type Ifitm5 , and nontransgenic littermates ( n = 8 per group, ** P &lt; ( B ) Western blot for SOX9 in representative RPPA samples. ( C ) Representative IHC images of proximal tibia of control (top) and mutant ( Rosa26 mIfitm5/+ Prx1-Cre/–, bottom) mice at 2 weeks of age, showing increased intensity and altered distribution of SOX9 + cells in the growth plate. In the mutant mice, SOX9 + cells are seen throughout the growth plate including the hypertrophic zone (which is reduced compared with littermate controls).",FULL_TEXT_VERIFIED,mouse,2 weeks of age,female,tibia,growth plate,immunohistochemistry,figure caption,,,False,False,False,False,False,True,False,False,,,False,True,figure caption,,1,expression of SOX9,False,LEVEL_C,000100,2,True
Sox9,SOX9,41641077,PMC12866916,10.1093/jbmrpl/ziag005,2026,JBMR plus,Inhibition of FGFR signaling with infigratinib improves linear bone growth in the female &lt;i&gt;Aga2/+&lt;/i&gt; mouse model of osteogenesis imperfecta.,EPMC_targeted,Figure 3,Infigratinib restores ERK1/2 signaling and proper SOX9 localization in growth plate chondrocytes. (C) Representative 20X images of distal femur growth plates stained with anti-SOX9 by IHC. Brackets indicate lower hypertrophic zone with increased SOX9 in VEH-treated Aga2/+ mice that is reduced in infigratinib-treated Aga2/+ mice.,FULL_TEXT_VERIFIED,mouse,,,femur,growth plate,immunohistochemistry,figure caption,,,False,False,False,False,False,True,False,False,,,True,True,figure caption,,1,anti-SOX9,False,LEVEL_C,000100,2,True
Sox9,SOX9,41613437,PMC12848162,10.1016/j.fmre.2025.04.014,2025,Fundamental research,Primary cilia in growth plates orchestrate long bone development.,EPMC_targeted,Fig. 5,b) Immunofluorescence staining showing the Sox9 + cells distributed in the growth plate structures of the two group at P7. (c) The histogram showing the expression of Sox9 in two groups at P7 ( n = 6).,FULL_TEXT_VERIFIED,mouse; rat; human,P7,,,growth plate,immunofluorescence,figure caption,,,False,False,False,False,False,False,False,False,,,False,True,not resolved,,0,expression of Sox9,False,LEVEL_C,000000,2,True
Sox9,SOX9,39908237,PMC12103725,10.1093/jbmr/zjaf022,2025,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,An inducible mouse model of osteogenesis imperfecta type V reveals aberrant osteogenesis caused by Ifitm5 c.-14C&gt;T mutation.,EPMC_targeted,Figure 2,(O-R) Immunostaining of SOX9 on the tibia sections from WT and mutant mice at E16.5 stage. (S) Quantification of the SOX9 + cells in the diaphysis regions from control and mutant groups at different stages.,FULL_TEXT_VERIFIED,mouse,E16.5,,tibia,growth plate,immunofluorescence,figure caption,,,False,False,False,True,False,True,False,True,,,True,True,body text,,3,SOX9 + cells,False,LEVEL_C,010101,1,False
Sox9,SOX9,41574606,PMC12892883,10.1172/jci.insight.182439,2026,JCI insight,Small molecule inhibition rescues the skeletal dysplasia phenotype of Trpv4 mutant mice.,EPMC_targeted,Figure 2,( B ) RNAscope showing expression of Sox9 (green) in the proliferative zone and Col10a1 (red) in the hypertrophic zone with DAPI staining (blue) identifying nuclei.,FULL_TEXT_VERIFIED,mouse,8-week-old,female,tibia,growth plate,RNAscope,figure caption,,,False,False,False,True,False,True,False,False,,,False,True,figure caption,,2,expression of Sox9,False,LEVEL_C,010100,1,False
Sox9,SOX9,41574606,PMC12892883,10.1172/jci.insight.182439,2026,JCI insight,Small molecule inhibition rescues the skeletal dysplasia phenotype of Trpv4 mutant mice.,EPMC_targeted,Figure 4,"For each image, there are insets showing 5× views of the proximal tibial growth plates and growth plates stained by RNAscope with probes for Sox9 (green) and Col10a1 (red) along with DAPI (blue), revealing that treatment also normalized expression of these molecular markers.",FULL_TEXT_VERIFIED,mouse,,female,tibiae,growth plate,RNAscope,figure caption,,,False,False,True,True,False,True,False,True,,,False,True,body text,,4,probes for Sox9,False,LEVEL_C,110101,1,False
Sox9,SOX9,38346197,PMC10895259,10.1073/pnas.2316969121,2024,Proceedings of the National Academy of Sciences of the United States of America,Skeletal growth is enhanced by a shared role for SOX8 and SOX9 in promoting reserve chondrocyte commitment to columnar proliferation.,EPMC_targeted,Fig. 7.,"Model highlighting the shared contribution of SOX8 and SOX9 to skeletal growth. The present study (red box) shows that reserve chondrocytes, which are round and weakly proliferative (pink circling arrow), are stimulated by coexpressed SOX8 and SOX9 to differentiate into highly proliferative cells (red circling arrow), which pack into longitudinal columns. Only SOX9 is expressed in further maturing chondrocytes, where it allows cell proliferation and subsequent hypertrophy rather than immediate death or osteoblastic conversion. By enhancing early-stage chondrocyte proliferation and subsequently supporting cell hypertrophy, SOX8/SOX9 and SOX9, respectively, promote the two main cellular events that drive skeletal growth.",FULL_TEXT_VERIFIED,mouse; rat; human; zebrafish,,,,growth plate,immunofluorescence; reporter mouse; lineage tracing,elsewhere in body text,,,False,False,True,False,False,False,False,False,osteoblast,strong; weak,False,True,figure caption,,1,SOX9 is expressed,False,LEVEL_D,100000,3,True
Sox9,SOX9,39236220,PMC11523133,10.1093/jbmr/zjae144,2024,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,The G protein-coupled receptor ADGRG6 maintains mouse growth plate homeostasis through IHH signaling.,EPMC_targeted,Figure 6,"The attenuated Gs signaling in the resting zone promotes the stem/progenitor cells to lose quiescence, but the overall proliferation rate is slightly reduced, potentially through downregulating SOX9 expression.",FULL_TEXT_VERIFIED,mouse; human,e144,female,,growth plate,in situ hybridization; immunohistochemistry; immunofluorescence; spatial transcriptomics; lineage tracing,elsewhere in body text,,,False,False,True,False,False,False,False,False,,,False,True,figure caption,dissociated,1,SOX9 expression,False,LEVEL_D,100000,3,True
Sox9,SOX9,38346197,PMC10895259,10.1073/pnas.2316969121,2024,Proceedings of the National Academy of Sciences of the United States of America,Skeletal growth is enhanced by a shared role for SOX8 and SOX9 in promoting reserve chondrocyte commitment to columnar proliferation.,EPMC_targeted,Fig. 1.,"( A ) Expression of SOXD ( SOX5 and SOX6 ) and SOXE ( SOX8 , SOX9, and SOX10 ) genes in human fetal cartilage growth plate and adult articular cartilage ( GSE111358 and GSE162033 datasets, respectively). ( B ) Representative in situ assays comparing Sox8 and Sox9 RNA levels in sections of tibia proximal GPs from juvenile (P14) and adult (P35) mice. At P14, GP zones are indicated on the left, and their relative Sox8 and Sox9 RNA levels are represented with different font sizes on the right. Left , Sox8 and Sox9 expression are compared to those of Pthlh (RZ/early-CZ marker), Foxa2 (GP stem cells and pre/hypertrophic GPCs), Fgfr3 (maturing GPCs), Ptch1 (maturing GPCs, except hypertrophic cells), and Ihh and Col10a1 (pre/hypertrophic GPCs). Right , Sox8 and Sox9 expression are compared in Pthlh - and Pthlh + subpopulations of RZ and CZ GPCs. Sox9 expression is higher in Pthlh + than Pthlh − ",FULL_TEXT_VERIFIED,mouse; human,P14,,tibia,growth plate,immunofluorescence; reporter mouse; lineage tracing,elsewhere in body text,,,False,False,True,True,True,False,False,True,,strong; weak,False,True,body text,dissociated,4,Sox9 expression,False,LEVEL_D,111001,1,False
Sox9,SOX9,40406350,PMC12097805,10.1093/jbmrpl/ziaf048,2025,JBMR plus,Porcupine inhibition enhances hypertrophic cartilage differentiation.,EPMC_targeted,Figure 1,"(A-D) PORCN and Sox9 expression detected in differentiated chondrocytes by immunohistochemistry. (A, B) PORCN signal was located in Sox9-positive cells during early endochondral ossification as observed at E13.5 of mice hindlimb. (C, D) Later at E18, weaker PORCN signal was observed in proliferating and prehypertrophic zone in the tibia growth plate while Sox9 expression was still strong. (G) At the same time points, Sox9 and Col2a1 were evaluated to determine progress of chondrogenesis in micromass cultures.",FULL_TEXT_VERIFIED,mouse; chick,E13.5,,tibia,growth plate,immunohistochemistry,figure caption,,,False,False,False,False,True,False,False,False,,strong,False,True,figure caption,cultured cells,1,Sox9 expression,False,LEVEL_D,001000,1,False
Tsc2,TSC2,26273523,PMC4472128,10.1038/boneres.2014.12,2014,Bone research,"Insulin exerts direct, IGF-1 independent actions in growth plate chondrocytes.",EPMC_targeted,Figure 5,Disruption of IR decreases size of hypertrophic chondrocytes associated with upregulation of TSC2. ( a ) TSC2 and TSC1 protein expression in chondrocytes was detected with immunoblotting using TSC2 and TSC1 antibodies in IR mutant (Ad-Cre) or control (Ad-GFP) chondrocytes treated with or without 10 nmol⋅L −1 insulin or 13 nmol⋅L −1 IGF-1. ( b ) TSC2 expression in the sections of growth plate of the ΔIR and WT mice was assessed by immunofluorescence staining as described in the section on ‘Materials and methods’.,FULL_TEXT_VERIFIED,mouse,,,,growth plate,immunofluorescence,figure caption,,,False,False,False,False,False,True,False,False,,,False,True,figure caption,,1,TSC2 expression,False,LEVEL_C,000100,1,False
