condition,kind,exposure_arm,plate,well,row,column,animal_id,litter_id,bone_id,is_edge_well
vehicle,VEHICLE,continuous,10,D04,D,4,L12A4,L12,L12A4-MT3-R,False
vehicle (edge position control),VEHICLE,continuous,10,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,10,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,10,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,G01,G,1,,,,True
vehicle (edge position control),VEHICLE,continuous,10,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,10,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,11,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,B01,B,1,,,,True
antiproliferative control,CYTOTOXIC CONTROL,continuous,11,B09,B,9,L14A6,L14,L14A6-MT2-R,False
vehicle (edge position control),VEHICLE,continuous,11,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,11,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,D01,D,1,,,,True
vehicle (edge position control),VEHICLE,continuous,11,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,11,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,11,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,G01,G,1,,,,True
vehicle (edge position control),VEHICLE,continuous,11,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,11,H12,H,12,,,,True
