compound,pubchem_cid,source_paper_pmid,experimental_model,disease_model,experimental_concentration,experimental_conc_nM,target,direct_or_indirect,biochemical_potency,potency_nM,species,assay_type,direction,evidence_source,engaged_at_experimental_conc
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Trypsin,direct (measured affinity),IC50 >20000,,Pig,IC50,,BindingDB,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Nr1i3,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,CNR1,assay-derived,median 4.92 uM,4919.9,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,ADORA3,assay-derived,median 7.61 uM,7608.3,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,ADRA1A,assay-derived,median 3.24 uM,3237.5,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,ADRA2A,assay-derived,median 4.87 uM,4866.8,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,ADRA2C,assay-derived,median 5.5 uM,5500.0,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,DRD1,assay-derived,median 9.83 uM,9830.6,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,DRD2,assay-derived,median 3.1 uM,3100.0,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,DRD3,assay-derived,median 0.95 uM,950.0,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,DRD4,assay-derived,median 4.24 uM,4239.7,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,NTMT1,assay-derived,median 31.6 uM,31622.8,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,HPN,assay-derived,median 2.02 uM,2020.0,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,HRH1,assay-derived,median 1.1 uM,1100.0,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,HRH2,assay-derived,median 1.45 uM,1454.3,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,HTR2A,assay-derived,median 0.413 uM,413.3,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,HTR2B,assay-derived,median 1.14 uM,1137.5,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,KCNH2,assay-derived,median 0.777 uM,777.5,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,OPRK1,assay-derived,median 9.28 uM,9278.1,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,SLC6A2,assay-derived,median 3.24 uM,3239.2,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,SLC6A3,assay-derived,median 5.99 uM,5989.9,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,SYK,assay-derived,median 23.6 uM,23625.75,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,NR1I3,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
BMN-111,,33986191,Fgfr3Y367C/+ (canonical CNP branch),True,ex vivo,,Guanylyl cyclase-B,direct (measured affinity),,,Human,,Agonist,Guide to Pharmacology,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Pregnane X receptor,direct (measured affinity),pEC50 6.1,794.3282,Mouse,pEC50,Agonist,Guide to Pharmacology,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Glucocorticoid receptor,direct (measured affinity),pIC50 8.1 - 9.0,,Human,pIC50,Agonist,Guide to Pharmacology,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Mineralocorticoid receptor,direct (measured affinity),pIC50 9.0,1.0,Human,pIC50,Agonist,Guide to Pharmacology,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,CFTR,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Hsf1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,CYP3A7,assay-derived,median 0.776 uM,776.2,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,CYP2C19,assay-derived,median 22.8 uM,22775.8,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Nr1i2,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,TSC22D3,assay-derived,median 0.0021 uM,2.1,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Nr3c1,assay-derived,median 0.00474 uM,4.736,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Arfgap1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,GLI3,assay-derived,median 0.492 uM,492.4995,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,NR3C1,assay-derived,median 0.00378 uM,3.7808,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,AR,assay-derived,median 0.194 uM,194.0,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,NR3C2,assay-derived,median 0.033 uM,33.0,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,NFE2L2,assay-derived,median 42.2 uM,42163.2,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,PGR,assay-derived,median 0.561 uM,561.0,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,PLA2G1B,assay-derived,median 0.61 uM,610.0,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,PLA2G2A,assay-derived,median 0.59 uM,590.0,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,PLA2G5,assay-derived,median 0.62 uM,620.0,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,NSD2,assay-derived,median 0.0332 uM,33.2,,median IC50/EC50,,PubChem BioAssay,
dexamethasone,5743.0,22442678,glucocorticoid growth suppression,True,organ culture,,Nr1i2,assay-derived,median 6.31 uM,6309.6,,median IC50/EC50,,PubChem BioAssay,
