pmcid,pmid,doi,title,year,journal,cited_by,found_by,query_kinds,is_anchor,relevance
PMC12353072,39992031,10.1002/cm.22007,Actin Filament Pointed Ends: Assays for Regulation of Assembly and Disassembly by Tropomodulin and Tropomyosin.,2025,"Cytoskeleton (Hoboken, N.J.)",2,"""cofilin""; ""latrunculin""",compound x growth plate; target x growth x geometry,False,2.0033333333333334
PMC10279950,37346276,10.3389/fvets.2023.1154987,Influence of Rho/ROCK inhibitor Y-27632 on proliferation of equine mesenchymal stromal cells.,2023,Frontiers in veterinary science,2,"""Y-27632""",compound x growth plate,False,2.0033333333333334
PMC11743681,39834387,10.3389/fcell.2024.1457506,Polarity and migration of cranial and cardiac neural crest cells: underlying molecular mechanisms and disease implications.,2024,Frontiers in cell and developmental biology,2,"""CDC42""; ""PIEZO1""; ""RAC1""; ""RHOA""; ""cadherin""; ""centrosome""; ""focal adhesion""; ""microtubule""; ""planar cell polarity""",target x growth x geometry,False,2.0033333333333334
PMC7986016,33760136,10.3892/mmr.2021.12018,0.5‑Gy X‑ray irradiation induces reorganization of cytoskeleton and differentiation of osteoblasts.,2021,Molecular medicine reports,2,"""LIMK1""; ""LIMK2""; ""Y27632""; ""cofilin""",compound x growth plate; target x growth x geometry,False,2.0033333333333334
PMC11900466,40076758,10.3390/ijms26052138,The Role of Primary Cilia in Modulating the Luteinization Process of Ovarian Granulosa Cells in Mice.,2025,International journal of molecular sciences,2,"""Y-27632""; ""Y27632""",compound x growth plate,False,2.0033333333333334
PMC12065127,40170340,10.1111/iej.14213,Electric field promoted odontogenic differentiation of stem cells from apical papilla by remodelling cytoskeleton.,2025,International endodontic journal,2,"""Y27632""; ""blebbistatin""; ""nocodazole""",compound x growth plate,False,2.0033333333333334
PMC12957827,40441296,10.1016/j.jare.2025.05.042,Ciliary IFT88 inhibits intervertebral disc degeneration under excessive mechanical stress by regulating endplate cartilage calcification.,2026,Journal of advanced research,1,"""TRPV4""; ""primary cilia""",target x growth x geometry,False,2.0016666666666665
PMC11673816,39768098,10.3390/bioengineering11121279,Mechanical Stretch Control of Adipocyte AKT Signaling and the Role of FAK and ROCK Mechanosensors.,2024,"Bioengineering (Basel, Switzerland)",1,"""Y-27632""; ""cofilin""; ""cytochalasin D""",compound x growth plate; target x growth x geometry,False,2.0016666666666665
PMC12575704,41168230,10.1038/s41467-025-64597-3,"Interplay of ECM organization, ROCK signaling, and cell polarity drives mesothelium formation and lung growth.",2025,Nature communications,1,"""ROCK1""; ""ROCK2""; ""Y27632""; ""planar cell polarity""",compound x growth plate; target x growth x geometry,False,2.0016666666666665
PMC12972520,41791289,10.1016/j.redox.2026.104109,"ROCK signaling at the crossroads of redox stress, mitochondrial dynamics, and metabolic disease.",2026,Redox biology,1,"""CDC42""; ""RAC1""; ""RHOA""; ""ROCK1""; ""ROCK2""; ""Y-27632""; ""belumosudil""; ""cofilin""; ""fasudil""; ""netarsudil""; ""ripasudil""",compound x growth plate; target x growth x geometry,False,2.0016666666666665
PMC12357271,40822518,10.1016/j.jot.2025.07.012,NLRP3 inflammasome impairs fracture repair in Rheumatoid arthritis through RhoA/Rac1-IL1β axis-mediated suppression of osteoblast differentiation.,2025,Journal of orthopaedic translation,1,"""CDC42""; ""RAC1""; ""ROCK2""",target x growth x geometry,False,2.0016666666666665
PMC12275404,40682116,10.1186/s12967-025-06708-8,Sinensetin serves as an AMPK activator to inhibit RANKL-induced osteoclastogenesis via osteoclast cytoskeleton reorganization.,2025,Journal of translational medicine,1,"""CDC42""; ""RAC1""",target x growth x geometry,False,2.0016666666666665
PMC11930814,40130165,10.3389/fendo.2025.1469400,The potential key genes within focal adhesion that regulate mesenchymal stem cells osteogenesis or adipogenesis in microgravity related disuse osteoporosis: an integrated analysis.,2025,Frontiers in endocrinology,1,"""focal adhesion""",target x growth x geometry,False,2.0016666666666665
PMC12518815,41083750,10.1038/s42003-025-08986-w,In-depth analysis of obesity-associated changes in adipose tissue-derived mesenchymal stromal/stem cells and primary cilia function.,2025,Communications biology,1,"""primary cilia""",target x growth x geometry,False,2.0016666666666665
PMC12190546,40560785,10.1002/jev2.70109,Cortical Actin Depolymerisation in 3D Cell Culture Enhances Extracellular Vesicle Secretion and Therapeutic Effects.,2025,Journal of extracellular vesicles,1,"""LIMK2""; ""RHOA""; ""cofilin""; ""cytochalasin D""",compound x growth plate; target x growth x geometry,False,2.0016666666666665
PMC12089063,40395934,10.3389/fcell.2025.1574638,A tale of Rabs and the exocyst complex in ciliary trafficking and biogenesis.,2025,Frontiers in cell and developmental biology,1,"""CDC42""; ""centrosome""; ""primary cilia""",target x growth x geometry,False,2.0016666666666665
PMC12144771,40483459,10.1186/s13578-025-01403-z,Cilia at the crossroad: convergence of regulatory mechanisms to govern cilia dynamics during cell signaling and the cell cycle.,2025,Cell & bioscience,1,"""CDC42""; ""centrosome""; ""primary cilia""",target x growth x geometry,False,2.0016666666666665
PMC11899262,40165809,10.59249/qtvt7676,ROCK2 Downregulation in Pediatric Medulloblastoma Increases Migration and Predicts the Involvement of SHH Non-canonical Signaling.,2025,The Yale journal of biology and medicine,1,"""CDC42""; ""RAC1""; ""RHOA""; ""ROCK1""; ""ROCK2""; ""Y-27632""; ""cadherin""; ""microtubule""",compound x growth plate; target x growth x geometry,False,2.0016666666666665
PMC12868669,41571890,10.1038/s12276-025-01631-w,Rgnef regulates bone mass through the activation of RhoA and Rac1.,2026,Experimental & molecular medicine,1,"""CDC42""; ""NSC23766""; ""RAC1""; ""RHOA""; ""microtubule""",compound x growth plate; target x growth x geometry,False,2.0016666666666665
PMC13003201,41858106,10.1111/ejn.70463,Mobile Powerhouses: Mitochondria Transfer via Tunnelling Nanotubes in Brain Health and Neurodegenerative Diseases.,2026,The European journal of neuroscience,1,"""CDC42""; ""Y-27632""; ""cofilin""; ""cytochalasin D""",compound x growth plate; target x growth x geometry,False,2.0016666666666665
PMC12892604,41535892,10.1186/s13075-026-03731-y,FSCN1 induces subchondral bone sclerosis in osteoarthritis via modulating actin cytoskeleton dynamics and YAP signaling.,2026,Arthritis research & therapy,1,"""RAC1""; ""RHOA""; ""focal adhesion""",target x growth x geometry,False,2.0016666666666665
PMC12320799,40765552,10.7150/ijms.114433,Primary cilia and their role in preeclampsia.,2025,International journal of medical sciences,0,"""centrosome""; ""microtubule""; ""planar cell polarity""; ""primary cilia""",target x growth x geometry,False,2.0
PMC9745127,36523493,10.3389/fphar.2022.1062119,Primary cilia: The central role in the electromagnetic field induced bone healing.,2022,Frontiers in pharmacology,0,"""cytochalasin D""",compound x growth plate,False,2.0
PMC12631758,41278198,10.3389/fcell.2025.1707436,Bioelectric cues from piezoelectric materials in stem-cell adhesion and migration.,2025,Frontiers in cell and developmental biology,0,"""FAK""",target x growth x geometry,False,2.0
PMC12142225,40487227,10.1016/j.reth.2025.05.004,Platelet rich plasma promotes cell migration of adipose-derived stem cells by up-regulation of focal adhesion kinase and paxillin.,2025,Regenerative therapy,0,"""FAK""",target x growth x geometry,False,2.0
PMC13161065,42131109,10.3389/fcell.2026.1818051,Decoding Rho GTPase signalling networks in directed cell migration.,2026,Frontiers in cell and developmental biology,0,"""CDC42""; ""FAK""; ""LIMK1""; ""LIMK2""; ""NHE1""; ""RAC1""; ""RHOA""; ""ROCK1""; ""ROCK2""; ""TRPV4""; ""cadherin""; ""centrosome""; ""cofilin""; ""focal adhesion""; ""microtubule""; ""non-muscle myosin II""; ""planar cell polarity""",target x growth x geometry,False,2.0
PMC13281347,41957701,10.1186/s11658-026-00915-x,Hedgehog pathway activity downstream of Smoothened is regulated specifically by basal ciliary PKA.,2026,Cellular & molecular biology letters,0,"""primary cilia""",target x growth x geometry,False,2.0
PMC12218117,40595384,10.1038/s42003-025-08342-y,Nascent actin dynamics and the disruption of calcium dynamics by actin arrest in developing neural cell networks.,2025,Communications biology,0,"""Y-27632""; ""jasplakinolide""; ""latrunculin""",compound x growth plate,False,2.0
PMC12042003,40294988,10.21873/invivo.13942,Gefitinib Facilitates Bone Fracture Healing &lt;i&gt;via&lt;/i&gt; Inhibition of the EGFR Pathway and Counteracting SOX9-driven Bone Metabolic Reprogramming.,2025,"In vivo (Athens, Greece)",0,"""Y-27632""",compound x growth plate,False,2.0
PMC12995906,41858409,10.1016/j.mbm.2026.100179,Cytoskeletal prestress homeostasis is a biological principle that governs living cell structure and function.,2026,Mechanobiology in medicine,0,"""FAK""; ""PIEZO1""; ""RHOA""; ""TRPV4""; ""actin cortex""; ""cadherin""; ""focal adhesion""; ""microtubule""; ""non-muscle myosin II""",target x growth x geometry,False,2.0
PMC13094313,41954347,10.32074/1591-951x-1624,Marked hepatic fibrosis with progression towards cirrhosis in generalized arterial calcification of infancy: an unreported association observed in a case carryng a novel &lt;i&gt;ENPP1&lt;/i&gt; variant.,2025,Pathologica,0,"""furosemide""",compound x growth plate,False,2.0
PMC11792080,39906257,10.1093/jbmrpl/ziaf002,Sprouty2/4 deficiency disrupts early signaling centers impacting chondrogenesis in the mouse forelimb.,2025,JBMR plus,0,"""primary cilia""",target x growth x geometry,False,2.0
PMC11484480,39417621,10.1098/rsob.240206,SLMAP3 is crucial for organogenesis through mechanisms involving primary cilia formation.,2024,Open biology,0,"""CDC42""; ""RAC1""; ""RHOA""; ""ROCK2""; ""centrosome""; ""cofilin""; ""focal adhesion""; ""microtubule""; ""planar cell polarity""; ""primary cilia""",target x growth x geometry,False,2.0
PMC12468187,41008364,10.3390/brainsci15091004,Primary Cilia and Cardiovascular Risk Factors in Alzheimer's Disease.,2025,Brain sciences,0,"""aquaporin""; ""primary cilia""",target x growth x geometry,False,2.0
PMC11638010,39676858,10.3389/fimmu.2024.1456875,Immunomodulatory potential of primary cilia in the skin.,2024,Frontiers in immunology,0,"""centrosome""; ""planar cell polarity""; ""primary cilia""",target x growth x geometry,False,2.0
PMC13224023,42231949,10.1016/j.isci.2026.116049,Regulation of cAMP levels in osteocytes by mechano-sensitive focal adhesion kinase and phosphodiesterase 8A.,2026,iScience,0,"""FAK""",target x growth x geometry,False,2.0
PMC11941300,40136653,10.3390/cells14060404,Nuclear RhoA Activation Regulates Nucleus Size and DNA Content via Nuclear Activation of ROCK and pErk.,2025,Cells,0,"""CDC42""; ""RAC1""; ""RHOA""; ""ROCK1""; ""ROCK2""; ""Y27632""; ""cofilin""",compound x growth plate; target x growth x geometry,False,2.0
PMC12860015,41469927,10.1186/s13578-025-01520-9,"Mechanisms, efficacy, and future perspectives of cellular-based therapies for liver fibrosis/cirrhosis: focusing on mesenchymal stromal cells.",2025,Cell & bioscience,0,"""cytochalasin D""",compound x growth plate,False,2.0
PMC12783415,40968701,10.1111/brv.70081,"The tandem-random transition of cellular patterning: proposed roles of N-cadherin-based orientational cell adhesions in the development, maintenance, and degeneration of the nucleus pulposus.",2026,Biological reviews of the Cambridge Philosophical Society,0,"""cadherin""; ""focal adhesion""; ""planar cell polarity""",target x growth x geometry,False,2.0
PMC13023636,41898356,10.3390/biomedicines14030712,Primary Cilia Are Required for Efficient BMP Signaling in Traumatic Heterotopic Ossification.,2026,Biomedicines,0,"""microtubule""; ""primary cilia""",target x growth x geometry,False,2.0
PMC13046246,41926508,10.1371/journal.pone.0346015,Primary cilia in osteoblasts and osteocytes are required for skeletal development and mechano-adaptation.,2026,PloS one,0,"""PIEZO1""; ""TRPV4""; ""microtubule""; ""primary cilia""",target x growth x geometry,False,2.0
PMC13293241,41589585,10.1093/jnen/nlag001,Three-dimensional approaches to measuring primary cilia in hippocampal neurons: A comparative analysis.,2026,Journal of neuropathology and experimental neurology,0,"""primary cilia""",target x growth x geometry,False,2.0
PMC12347751,40814602,10.1016/j.ekir.2025.05.049,Structure-Activity Analysis Reveals Perturbed Cilia-Jun N-Terminal Kinase Signaling in MAPKBP1-Associated Kidney Disease.,2025,Kidney international reports,0,"""centrosome""; ""cytochalasin D""; ""nocodazole""; ""primary cilia""",compound x growth plate; target x growth x geometry,False,2.0
PMC12293960,40710351,10.3390/cells14141098,The Reciprocal Relationship Between Cell Adhesion Molecules and Reactive Oxygen Species.,2025,Cells,0,"""SLC9A1""",target x growth x geometry,False,2.0
PMC11987806,40214457,10.3390/cells14070503,Cigarette Smoke Exposure Leads to Organic and Mineral Bone Component Changes: The Importance of Rho Kinase Function in These Events.,2025,Cells,0,"""Y-27632""",compound x growth plate,False,2.0
PMC12729777,41463614,10.3390/bioengineering12121317,In Vitro Experimental and Numerical Simulation Study on the Influence of Uniaxial Cyclic Compression on Cytoskeletal Structure.,2025,"Bioengineering (Basel, Switzerland)",0,"""focal adhesion""; ""microtubule""",target x growth x geometry,False,2.0
PMC10391757,37525128,10.1186/s10020-023-00699-2,Correction: RhoA promotes osteoclastogenesis and regulates bone remodeling through mTOR-NFATc1 signaling.,2023,"Molecular medicine (Cambridge, Mass.)",0,"""RHOA""",target x growth x geometry,False,2.0
PMC12427643,40943086,10.3390/ijms26178159,Bone Microstructural Deterioration and miR-155/&lt;i&gt;RHOA&lt;/i&gt;-Mediated Osteoclastogenesis in Type 2 Diabetes Mellitus.,2025,International journal of molecular sciences,0,"""RHOA""",target x growth x geometry,False,2.0
PMC12191399,40563503,10.3390/biom15060863,Retinoic-Acid-Related Orphan Receptor Alpha Is Involved in the Regulation of the Cytoskeleton of Hair Follicle Stem Cells.,2025,Biomolecules,0,"""SR1078""; ""cadherin""; ""cholesterol""; ""integrin beta1""; ""microtubule""",compound x growth plate; target x growth x geometry,False,2.0
PMC13220845,42209418,10.1080/19491034.2026.2677308,Integration of nuclear mechanosensing with integrin-extracellular matrix adhesions.,2026,"Nucleus (Austin, Tex.)",0,"""RHOA""; ""blebbistatin""; ""focal adhesion""; ""microtubule""",compound x growth plate; target x growth x geometry,False,2.0
PMC4946886,26868907,10.1038/cdd.2015.168,Fate decision of mesenchymal stem cells: adipocytes or osteoblasts?,2016,Cell death and differentiation,975,"""latrunculin""; ""non-muscle myosin II""",compound x growth plate; target x growth x geometry,False,0.5
PMC7046529,31980749,10.1038/s41568-019-0238-1,A framework for advancing our understanding of cancer-associated fibroblasts.,2020,Nature reviews. Cancer,3086,"""defactinib""",compound x growth plate,False,0.5
PMC2966423,21060791,10.1371/journal.pone.0013741,The mouse blood-brain barrier transcriptome: a new resource for understanding the development and function of brain endothelial cells.,2010,PloS one,470,"""SLC12A2""",target x growth x geometry,False,0.5
PMC10551038,37794028,10.1038/s41419-023-06154-8,Autophagy: Regulator of cell death.,2023,Cell death & disease,642,"""NHE1""",target x growth x geometry,False,0.5
PMC10319900,37402746,10.1038/s41392-023-01464-x,"TRP (transient receptor potential) ion channel family: structures, biological functions and therapeutic interventions for diseases.",2023,Signal transduction and targeted therapy,303,"""GSK1016790A""; ""HC-067047""",compound x growth plate,False,0.5
PMC11115438,34910301,10.1002/eji.202170126,Guidelines for the use of flow cytometry and cell sorting in immunological studies (third edition).,2021,European journal of immunology,409,"""latrunculin""",compound x growth plate,False,0.5
PMC5007684,27581859,10.1186/s13287-016-0363-7,Mechanisms of mesenchymal stem/stromal cell function.,2016,Stem cell research & therapy,593,"""latrunculin""",compound x growth plate,False,0.5
PMC7280204,32550039,10.1038/s41413-020-0099-y,Molecular mechanosensors in osteocytes.,2020,Bone research,365,"""latrunculin""",compound x growth plate,False,0.5
PMC9281132,35836256,10.1186/s12943-022-01616-7,Wnt signaling in colorectal cancer: pathogenic role and therapeutic target.,2022,Molecular cancer,663,"""EIPA""",compound x growth plate,False,0.5
PMC3865727,24381558,10.3389/fphys.2013.00370,pH sensing and regulation in cancer.,2013,Frontiers in physiology,378,"""NHE1""; ""SLC9A1""; ""cariporide""",compound x growth plate; target x growth x geometry,False,0.5
PMC10958066,38514615,10.1038/s41392-024-01764-w,"TGF-β signaling in health, disease, and therapeutics.",2024,Signal transduction and targeted therapy,737,"""LIMK2""",target x growth x geometry,False,0.5
PMC4990061,26993058,10.1016/j.bbamcr.2016.03.013,Monocarboxylate transporters in the brain and in cancer.,2016,Biochimica et biophysica acta,316,"""bumetanide""",compound x growth plate,False,0.5
PMC3823111,20015196,10.1111/j.1582-4934.2009.00994.x,Tumour hypoxia induces a metabolic shift causing acidosis: a common feature in cancer.,2010,Journal of cellular and molecular medicine,473,"""acetazolamide""; ""cariporide""",compound x growth plate,False,0.5
PMC10387486,37518181,10.1038/s41392-023-01501-9,Cellular mechanotransduction in health and diseases: from molecular mechanism to therapeutic targets.,2023,Signal transduction and targeted therapy,358,"""NHE1""; ""PIEZO2""",target x growth x geometry,False,0.5
PMC6685704,31290742,10.7554/elife.47454,The mechanosensitive Piezo1 channel is required for bone formation.,2019,eLife,326,"""cell rotation""",target x growth x geometry,False,0.5
PMC10837209,38267638,10.1038/s41422-023-00918-9,"The roles and regulatory mechanisms of TGF-β and BMP signaling in bone and cartilage development, homeostasis and disease.",2024,Cell research,302,"""CDC42""; ""RAC1""; ""primary cilia""",target x growth x geometry,False,0.5
PMC11094169,38744846,10.1038/s41392-024-01839-8,Mitochondrial dysfunction: mechanisms and advances in therapy.,2024,Signal transduction and targeted therapy,614,"""EIPA""",compound x growth plate,False,0.5
PMC10152985,37143582,10.1002/mco2.261,"Protein posttranslational modifications in health and diseases: Functions, regulatory mechanisms, and therapeutic implications.",2023,MedComm,282,"""netarsudil""",compound x growth plate,False,0.47
PMC4445995,26012510,10.1186/s13287-015-0083-4,Mechanism of regulation of stem cell differentiation by matrix stiffness.,2015,Stem cell research & therapy,269,"""latrunculin""; ""non-muscle myosin II""",compound x growth plate; target x growth x geometry,False,0.4483333333333333
PMC2780866,19690065,10.2337/db09-0393,Natriuretic peptides/cGMP/cGMP-dependent protein kinase cascades promote muscle mitochondrial biogenesis and prevent obesity.,2009,Diabetes,247,"""NHE1""",target x growth x geometry,False,0.4116666666666667
PMC6441020,30926814,10.1038/s41467-019-09491-5,Excessive mechanical loading promotes osteoarthritis through the gremlin-1-NF-κB pathway.,2019,Nature communications,244,"""EHT1864""; ""NSC23766""; ""PF-573228""",compound x growth plate,False,0.4066666666666667
PMC4858538,27200351,10.3389/fcell.2016.00040,p38 MAPK Signaling in Osteoblast Differentiation.,2016,Frontiers in cell and developmental biology,243,"""LIMK1""; ""fasudil""",compound x growth plate; target x growth x geometry,False,0.405
PMC11219878,38956429,10.1038/s41421-024-00689-6,"Cell signaling and transcriptional regulation of osteoblast lineage commitment, differentiation, bone formation, and homeostasis.",2024,Cell discovery,236,"""PIEZO2""",target x growth x geometry,False,0.3933333333333333
PMC6416271,30867417,10.1038/s41467-019-09055-7,Dietary fatty acids fine-tune Piezo1 mechanical response.,2019,Nature communications,233,"""HC-067047""; ""latrunculin""",compound x growth plate,False,0.3883333333333333
PMC10904817,38424050,10.1038/s41392-024-01756-w,Peroxisome proliferator-activated receptor gamma coactivator-1 (PGC-1) family in physiological and pathophysiological process and diseases.,2024,Signal transduction and targeted therapy,224,"""NHE1""",target x growth x geometry,False,0.37333333333333335
PMC9628074,36324128,10.1186/s12943-022-01670-1,Targeting the tumor stroma for cancer therapy.,2022,Molecular cancer,221,"""defactinib""",compound x growth plate,False,0.36833333333333335
PMC7432490,32751654,10.3390/ijms21155447,Tissue-Specific Decellularization Methods: Rationale and Strategies to Achieve Regenerative Compounds.,2020,International journal of molecular sciences,209,"""latrunculin""",compound x growth plate,False,0.34833333333333333
PMC7060079,32103177,10.1038/s41586-020-2050-1,Lipid availability determines fate of skeletal progenitor cells via SOX9.,2020,Nature,204,"""Y-27632""",compound x growth plate,False,0.34
PMC9954192,36831324,10.3390/cells12040657,Mechanisms of Blood-Brain Barrier Protection by Microbiota-Derived Short-Chain Fatty Acids.,2023,Cells,202,"""non-muscle myosin II""",target x growth x geometry,False,0.33666666666666667
PMC9470311,36111166,10.1155/2022/9966750,"Flavonols and Flavones as Potential anti-Inflammatory, Antioxidant, and Antibacterial Compounds.",2022,Oxidative medicine and cellular longevity,202,"""nobiletin""",compound x growth plate,False,0.33666666666666667
PMC5580829,28218908,10.1038/ncb3476,Cell-matrix signals specify bone endothelial cells during developmental osteogenesis.,2017,Nature cell biology,197,"""integrin beta1""",target x growth x geometry,False,0.3283333333333333
PMC6355972,30705265,10.1038/s41467-019-08465-x,Volume expansion and TRPV4 activation regulate stem cell fate in three-dimensional microenvironments.,2019,Nature communications,195,"""GSK1016790A""; ""blebbistatin""; ""non-muscle myosin II""",compound x growth plate; target x growth x geometry,False,0.325
PMC6769927,31450621,10.3390/cells8090969,TGFβ/BMP Signaling Pathway in Cartilage Homeostasis.,2019,Cells,194,"""osmotic swelling""",target x growth x geometry,False,0.3233333333333333
PMC6341104,30664634,10.1038/s41467-018-08000-4,Genome-wide association study of body fat distribution identifies adiposity loci and sex-specific genetic effects.,2019,Nature communications,191,"""SLC12A2""",target x growth x geometry,False,0.31833333333333336
PMC11237130,38987555,10.1038/s41413-024-00342-8,"Wnt/β-catenin signaling components and mechanisms in bone formation, homeostasis, and disease.",2024,Bone research,191,"""RAC1""; ""RHOA""; ""Y-27632""; ""aquaporin""; ""microtubule""; ""planar cell polarity""",compound x growth plate; target x growth x geometry,False,0.31833333333333336
PMC6279436,30509934,10.1042/ebc20170053,The genetic basis of disease.,2018,Essays in biochemistry,185,"""LIMK1""",target x growth x geometry,False,0.30833333333333335
PMC9081537,35547166,10.3389/fbioe.2022.805299,"Decellularization in Tissue Engineering and Regenerative Medicine: Evaluation, Modification, and Application Methods.",2022,Frontiers in bioengineering and biotechnology,178,"""latrunculin""",compound x growth plate,False,0.2966666666666667
PMC9305477,34679192,10.1111/bph.15713,Osteosarcoma mechanobiology and therapeutic targets.,2022,British journal of pharmacology,177,"""cofilin""",target x growth x geometry,False,0.295
PMC7791185,33111436,10.1111/cpr.12941,Acid-sensing ion channels regulate nucleus pulposus cell inflammation and pyroptosis via the NLRP3 inflammasome in intervertebral disc degeneration.,2021,Cell proliferation,174,"""amiloride""",compound x growth plate,False,0.29
PMC10425814,37588235,10.1016/j.gendis.2023.01.030,"Canonical and noncanonical Wnt signaling: Multilayered mediators, signaling mechanisms and major signaling crosstalk.",2024,Genes & diseases,173,"""ROCK1""; ""ROCK2""",target x growth x geometry,False,0.28833333333333333
PMC2171573,16301336,10.1083/jcb.200503144,Ablation of beta1 integrin in mammary epithelium reveals a key role for integrin in glandular morphogenesis and differentiation.,2005,The Journal of cell biology,172,"""integrin beta1""",target x growth x geometry,False,0.2866666666666667
PMC7864677,33564740,10.1063/5.0031475,The rheology of direct and suspended extrusion bioprinting.,2021,APL bioengineering,169,"""cell rotation""",target x growth x geometry,False,0.2816666666666667
PMC6364489,30775233,10.1002/advs.201801483,Extended Exposure to Stiff Microenvironments Leads to Persistent Chromatin Remodeling in Human Mesenchymal Stem Cells.,2019,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",168,"""blebbistatin""",compound x growth plate,False,0.28
PMC3237481,22194879,10.1371/journal.pone.0028663,IGF-1 and PDGF-bb suppress IL-1β-induced cartilage degradation through down-regulation of NF-κB signaling: involvement of Src/PI-3K/AKT pathway.,2011,PloS one,165,"""integrin beta1""",target x growth x geometry,False,0.275
PMC8804296,35118075,10.3389/fcell.2021.789948,"Targeting Cell Death: Pyroptosis, Ferroptosis, Apoptosis and Necroptosis in Osteoarthritis.",2021,Frontiers in cell and developmental biology,162,"""osmotic swelling""",target x growth x geometry,False,0.27
PMC8526690,34667178,10.1038/s41413-021-00168-8,Roles of mechanosensitive channel Piezo1/2 proteins in skeleton and other tissues.,2021,Bone research,162,"""GsMTx4""; ""PIEZO2""; ""cell rotation""",compound x growth plate; target x growth x geometry,False,0.27
PMC4252826,25277499,10.1016/j.virol.2014.09.009,Phosphatidylserine receptors: enhancers of enveloped virus entry and infection.,2014,Virology,160,"""EIPA""",compound x growth plate,False,0.26666666666666666
PMC5345159,28279182,10.1186/s13018-017-0534-y,The use of mesenchymal stem cells for cartilage repair and regeneration: a systematic review.,2017,Journal of orthopaedic surgery and research,159,"""NSC23766""",compound x growth plate,False,0.265
PMC4225469,23826660,10.1111/acel.12124,Uncovering the cellular and molecular changes in tendon stem/progenitor cells attributed to tendon aging and degeneration.,2013,Aging cell,155,"""latrunculin""",compound x growth plate,False,0.25833333333333336
PMC3287012,22400115,10.1155/2012/346972,Hyaluronan regulates cell behavior: a potential niche matrix for stem cells.,2012,Biochemistry research international,154,"""NHE1""",target x growth x geometry,False,0.25666666666666665
PMC10658171,37981648,10.1038/s41392-023-01652-9,Hypoxia-induced signaling in the cardiovascular system: pathogenesis and therapeutic targets.,2023,Signal transduction and targeted therapy,152,"""NHE1""; ""SLC9A1""; ""acetazolamide""",compound x growth plate; target x growth x geometry,False,0.25333333333333335
PMC7859330,33553146,10.3389/fcell.2020.607764,Subchondral Bone Remodeling: A Therapeutic Target for Osteoarthritis.,2020,Frontiers in cell and developmental biology,148,"""defactinib""",compound x growth plate,False,0.24666666666666667
PMC6974953,31993293,10.1002/advs.201902295,Developmentally Engineered Callus Organoid Bioassemblies Exhibit Predictive In Vivo Long Bone Healing.,2020,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",146,"""Y27632""",compound x growth plate,False,0.24333333333333335
PMC10541721,37777764,10.1186/s11658-023-00489-y,Oxidative stress as a key modulator of cell fate decision in osteoarthritis and osteoporosis: a narrative review.,2023,Cellular & molecular biology letters,137,"""osmotic swelling""",target x growth x geometry,False,0.22833333333333333
PMC5859015,29581909,10.1038/s41413-018-0007-x,Mechanically induced Ca<sup>2+</sup> oscillations in osteocytes release extracellular vesicles and enhance bone formation.,2018,Bone research,137,"""MYH9""",target x growth x geometry,False,0.22833333333333333
PMC10698167,38052778,10.1038/s41413-023-00301-9,Risk of metabolic abnormalities in osteoarthritis: a new perspective to understand its pathological mechanisms.,2023,Bone research,133,"""lovastatin""",compound x growth plate,False,0.22166666666666668
PMC3051823,21357746,10.1083/jcb.201007141,Kindlin-3-mediated signaling from multiple integrin classes is required for osteoclast-mediated bone resorption.,2011,The Journal of cell biology,132,"""integrin beta1""",target x growth x geometry,False,0.22
PMC7314997,32625119,10.3389/fphys.2020.00684,The Importance of Mechanical Forces for <i>in vitro</i> Endothelial Cell Biology.,2020,Frontiers in physiology,131,"""non-muscle myosin II""",target x growth x geometry,False,0.21833333333333332
PMC7084855,32111087,10.3390/ijms21051603,Regulation of AQP4 in the Central Nervous System.,2020,International journal of molecular sciences,125,"""TGN-020""; ""acetazolamide""",compound x growth plate,False,0.20833333333333334
PMC4448211,26029358,10.1186/s13630-015-0016-y,The primary cilium functions as a mechanical and calcium signaling nexus.,2015,Cilia,124,"""GSK1016790A""",compound x growth plate,False,0.20666666666666667
PMC6323488,30670929,10.1155/2018/8739473,Role of Epidermal Growth Factor Receptor (EGFR) and Its Ligands in Kidney Inflammation and Damage.,2018,Mediators of inflammation,124,"""NKCC1""",target x growth x geometry,False,0.20666666666666667
PMC6296470,30569032,10.1002/jsp2.1026,Mechanotransduction and cell biomechanics of the intervertebral disc.,2018,JOR spine,122,"""latrunculin""; ""osmotic swelling""",compound x growth plate; target x growth x geometry,False,0.20333333333333334
PMC5849475,28752598,10.1002/adhm.201700433,Supercritical Fluid Technology: An Emphasis on Drug Delivery and Related Biomedical Applications.,2017,Advanced healthcare materials,122,"""acetazolamide""",compound x growth plate,False,0.20333333333333334
PMC3738599,23951132,10.1371/journal.pone.0071318,Osterix-cre labeled progenitor cells contribute to the formation and maintenance of the bone marrow stroma.,2013,PloS one,122,"""latrunculin""",compound x growth plate,False,0.20333333333333334
PMC4845118,26508744,10.1161/jaha.115.002423,Natriuretic Peptides in the Regulation of Cardiovascular Physiology and Metabolic Events.,2015,Journal of the American Heart Association,121,"""cariporide""",compound x growth plate,False,0.20166666666666666
