compound,chembl_id,compound_family,primary_target_queried,classification_basis,broad_poison_class
CHEMBL94353,CHEMBL94353,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL487720,CHEMBL487720,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3221815,CHEMBL3221815,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3221813,CHEMBL3221813,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3221811,CHEMBL3221811,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4095413,CHEMBL4095413,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4065154,CHEMBL4065154,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL121610,CHEMBL121610,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3221807,CHEMBL3221807,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL418776,CHEMBL418776,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL600852,CHEMBL600852,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL483401,CHEMBL483401,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2181045,CHEMBL2181045,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL426526,CHEMBL426526,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207491,CHEMBL207491,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3221809,CHEMBL3221809,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3218119,CHEMBL3218119,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4439190,CHEMBL4439190,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3613620,CHEMBL3613620,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL318996,CHEMBL318996,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL234279,CHEMBL234279,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL177545,CHEMBL177545,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1684800,CHEMBL1684800,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL96846,CHEMBL96846,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL570830,CHEMBL570830,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL570831,CHEMBL570831,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL474507,CHEMBL474507,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL480585,CHEMBL480585,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL218257,CHEMBL218257,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1085503,CHEMBL1085503,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3968344,CHEMBL3968344,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4101768,CHEMBL4101768,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1783857,CHEMBL1783857,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL5653589,CHEMBL5653589,Rho/Rac/Cdc42 modulator,CDC42,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL97809,CHEMBL97809,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL384143,CHEMBL384143,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3613608,CHEMBL3613608,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL328618,CHEMBL328618,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL127633,CHEMBL127633,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL389443,CHEMBL389443,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL97007,CHEMBL97007,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL102727,CHEMBL102727,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1209190,CHEMBL1209190,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2368190,CHEMBL2368190,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3356427,CHEMBL3356427,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5088921,CHEMBL5088921,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2160073,CHEMBL2160073,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2368188,CHEMBL2368188,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2043430,CHEMBL2043430,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL113443,CHEMBL113443,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL333904,CHEMBL333904,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL112903,CHEMBL112903,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL2043435,CHEMBL2043435,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL523695,CHEMBL523695,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL373512,CHEMBL373512,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL520828,CHEMBL520828,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL218719,CHEMBL218719,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1813106,CHEMBL1813106,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1813107,CHEMBL1813107,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL561533,CHEMBL561533,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL159103,CHEMBL159103,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5282887,CHEMBL5282887,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3286985,CHEMBL3286985,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3286981,CHEMBL3286981,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL333003,CHEMBL333003,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL474902,CHEMBL474902,integrin-directed,ITGAV,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1160756,CHEMBL1160756,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL157917,CHEMBL157917,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL2207756,CHEMBL2207756,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL94584,CHEMBL94584,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL480746,CHEMBL480746,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL481553,CHEMBL481553,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL436362,CHEMBL436362,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3356429,CHEMBL3356429,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL481731,CHEMBL481731,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1084837,CHEMBL1084837,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1084737,CHEMBL1084737,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1086045,CHEMBL1086045,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL320899,CHEMBL320899,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL501917,CHEMBL501917,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL211924,CHEMBL211924,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4549613,CHEMBL4549613,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL572170,CHEMBL572170,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL482363,CHEMBL482363,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL91960,CHEMBL91960,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL321768,CHEMBL321768,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL64976,CHEMBL64976,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1086048,CHEMBL1086048,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL406821,CHEMBL406821,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL494662,CHEMBL494662,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4069979,CHEMBL4069979,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL345375,CHEMBL345375,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL330686,CHEMBL330686,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3986034,CHEMBL3986034,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL51363,CHEMBL51363,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL518825,CHEMBL518825,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2181041,CHEMBL2181041,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL455680,CHEMBL455680,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4453941,CHEMBL4453941,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL521347,CHEMBL521347,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL485612,CHEMBL485612,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL158189,CHEMBL158189,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL482337,CHEMBL482337,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL95177,CHEMBL95177,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL471745,CHEMBL471745,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2160069,CHEMBL2160069,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3954949,CHEMBL3954949,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL461338,CHEMBL461338,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL471672,CHEMBL471672,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL481685,CHEMBL481685,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL217698,CHEMBL217698,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL475601,CHEMBL475601,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL250088,CHEMBL250088,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL43577,CHEMBL43577,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL515916,CHEMBL515916,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL571706,CHEMBL571706,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3924485,CHEMBL3924485,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL488297,CHEMBL488297,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL122957,CHEMBL122957,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1083285,CHEMBL1083285,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2367478,CHEMBL2367478,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3681007,CHEMBL3681007,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL103627,CHEMBL103627,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161643,CHEMBL1161643,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161653,CHEMBL1161653,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4247249,CHEMBL4247249,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3800515,CHEMBL3800515,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL519269,CHEMBL519269,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161651,CHEMBL1161651,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161644,CHEMBL1161644,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161655,CHEMBL1161655,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL510515,CHEMBL510515,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL474503,CHEMBL474503,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161640,CHEMBL1161640,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1084731,CHEMBL1084731,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3356432,CHEMBL3356432,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2170611,CHEMBL2170611,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL213568,CHEMBL213568,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3613601,CHEMBL3613601,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL514554,CHEMBL514554,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2368202,CHEMBL2368202,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL487632,CHEMBL487632,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161650,CHEMBL1161650,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161646,CHEMBL1161646,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3349827,CHEMBL3349827,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL99940,CHEMBL99940,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1161664,CHEMBL1161664,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3613605,CHEMBL3613605,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161639,CHEMBL1161639,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL319992,CHEMBL319992,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1209314,CHEMBL1209314,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL106772,CHEMBL106772,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3286987,CHEMBL3286987,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL394633,CHEMBL394633,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4062863,CHEMBL4062863,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL550802,CHEMBL550802,integrin-directed,ITGAV,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3613622,CHEMBL3613622,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2070619,CHEMBL2070619,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL51950,CHEMBL51950,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL332797,CHEMBL332797,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL151437,CHEMBL151437,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL483395,CHEMBL483395,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4105593,CHEMBL4105593,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL493911,CHEMBL493911,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161652,CHEMBL1161652,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL572371,CHEMBL572371,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161660,CHEMBL1161660,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161648,CHEMBL1161648,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4099293,CHEMBL4099293,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL440847,CHEMBL440847,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161661,CHEMBL1161661,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3897222,CHEMBL3897222,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL575741,CHEMBL575741,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3976867,CHEMBL3976867,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1161645,CHEMBL1161645,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL101438,CHEMBL101438,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161647,CHEMBL1161647,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL473896,CHEMBL473896,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161649,CHEMBL1161649,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161654,CHEMBL1161654,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161665,CHEMBL1161665,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1209251,CHEMBL1209251,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL122744,CHEMBL122744,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161657,CHEMBL1161657,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1161641,CHEMBL1161641,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL399771,CHEMBL399771,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3318042,CHEMBL3318042,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL514172,CHEMBL514172,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
