pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
cyacetacide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
cyclamic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
cyclic-AMP,Preclinical,,CNGA3|TRPM7,other / unclassified,,,no annotated mechanism of action
cyclocytidine,Preclinical,DNA synthesis inhibitor|RNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
cycloheximide,Preclinical,protein synthesis inhibitor,RPL3,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
cyclophosphamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
CycLuc1,Preclinical,,,other / unclassified,,,no annotated mechanism of action
CYC116,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|KDR,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
cypermethrin,Launched,,,other / unclassified,,,no annotated mechanism of action
cyproterone-acetate,Launched,androgen receptor antagonist,ADORA1|AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
cyromazine,Launched,,,other / unclassified,,,no annotated mechanism of action
cysteamine,Launched,tissue transglutaminase inhibitor,NPY2R|SST,metabolic,,,no orderable sample (no SMILES or catalogue number)
CYT-997,Phase 2,tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
cytarabine,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
cytidine,Launched,,,other / unclassified,,,no annotated mechanism of action
cytochalasin-B,Phase 2,microtubule inhibitor,ACTB,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
cytochlor,Phase 1,,,other / unclassified,,,no annotated mechanism of action
C106,Phase 3,,,other / unclassified,,,no annotated mechanism of action
C11-Acetate,Phase 3,,ABAT|ACE|AKR1C3|CA2|CELA1|ESR2|FFAR2|FFAR3|HPRT1|LTA4H|MMP12|NOS1|NOS3|PLA2G1B|PTPN1|SOD1|TXN,other / unclassified,systemic sex-steroid manipulation,ESR2,hard exclusion: systemic sex-steroid manipulation
"D,L-mevalonic-acid-lactone",Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
D-(+)-maltose,Preclinical,,MGAM,other / unclassified,,,no annotated mechanism of action
D-alpha-tocopheryl-succinate,Launched,,,other / unclassified,,,no annotated mechanism of action
D-delta-tocopherol,Launched,,,other / unclassified,,,no annotated mechanism of action
D-limonene,Phase 1,,,other / unclassified,,,no annotated mechanism of action
D-64131,Preclinical,microtubule inhibitor,TUBB,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
D-7193,Phase 2,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
dacarbazine,Launched,DNA alkylating agent,PGD|POLA2,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
dactinomycin,Launched,RNA polymerase inhibitor,POLR2A,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
daidzein,Phase 2,estrogen receptor agonist,ESRRA|ESRRB|ESRRG|TRPC5,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
danazol,Launched,estrogen receptor antagonist|progesterone receptor agonist,AR|CCL2|ESR1|GNRHR|GNRHR2|PGR,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
danusertib,Phase 2,Aurora kinase inhibitor|growth factor receptor inhibitor,AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK,kinase; growth factor / cytokine,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
darolutamide,Launched,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
daunorubicin,Launched,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
deazaguanine,Preclinical,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
decitabine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
deferasirox-iron-chelate,Launched,,,other / unclassified,,,no annotated mechanism of action
deflazacort,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
degarelix,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRHR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
dehydroacetic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
dehydrocholate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
dehydrocholate-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
dehydroepiandrosterone,Launched,protein synthesis stimulant,ESR1|ESR2|G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HSD17B1|NR1I2|NR1I3|PPARA|SIGMAR1|SULT2A1|SULT2B1,other / unclassified,systemic sex-steroid manipulation,ESR1; ESR2,hard exclusion: systemic sex-steroid manipulation
dehydroepiandrosterone-sulfate,Launched,androgen receptor agonist|estrogen receptor agonist,AR|ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
delanzomib,Phase 1/Phase 2,proteasome inhibitor,CMA1|CTSG|CYP3A4|ELANE,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
denatonium-benzoate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
deslanoside,Launched,Na/K-ATPase inhibitor,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1; ATP1A2; ATP1A3,hard exclusion: narrow-therapeutic-index cardiac glycoside
deslorelin,Phase 2,gonadotropin releasing factor hormone receptor agonist,,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
desogestrel,Launched,progesterone receptor agonist,ESR1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
desonide,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
desoximetasone,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
desoxycorticosterone-pivalate,Launched,corticosteroid agonist,NR3C2,other / unclassified,systemic glucocorticoid manipulation,corticosteroid,hard exclusion: systemic glucocorticoid manipulation
desoxycortone,Preclinical,mineralocorticoid receptor agonist,NR3C1|NR3C2,GPCR,systemic glucocorticoid manipulation,NR3C1,hard exclusion: systemic glucocorticoid manipulation
dexamethasone,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
dexamethasone-acetate,Launched,glucocorticoid receptor agonist,,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
dexfosfoserine,Preclinical,membrane integrity inhibitor,CFTR|GRM4|GRM6|GRM7|GRM8|KCNC4|PDPK1|PIM1|PRKACA|PRKCQ|PYGL|PYGM|REG1A|RHO|SERPINB3|SMAD2|TAOK2,mechanotransduction,,,no orderable sample (no SMILES or catalogue number)
dexpanthenol,Launched,,,other / unclassified,,,no annotated mechanism of action
dexrazoxane,Launched,chelating agent|topoisomerase inhibitor,TOP2A|TOP2B,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
dextran,Launched,,,other / unclassified,,,no annotated mechanism of action
dextrose,Launched,,,other / unclassified,,,no annotated mechanism of action
diacetamate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
dianhydrogalactitol,Phase 3,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
diarylpropionitrile,Preclinical,estrogen receptor agonist,ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
diatrizoic-acid,Launched,,,other / unclassified,,,no annotated mechanism of action
diazoxide,Launched,potassium channel activator,ATP1A1|CA1|CA2|KCNJ11|KCNJ8|KCNMA1|SLC12A3,ion channel; transporter,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
dibenzothiophene,Preclinical,,,other / unclassified,,,no annotated mechanism of action
dibutyl-phthalate,Preclinical,,TRPA1,other / unclassified,,,no annotated mechanism of action
dichlorisone-acetate,Phase 2,,,other / unclassified,,,no annotated mechanism of action
dichloroacetate,Phase 3,pyruvate dehydrogenase kinase inhibitor,,kinase; metabolic,,,no orderable sample (no SMILES or catalogue number)
dichlorvos,Launched,acetylcholinesterase inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
dicloralurea,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
dicyclohexylamine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
didox,Launched,ribonucleotide reductase inhibitor,RRM1,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
dienestrol,Launched,estrogen receptor agonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
dienogest,Launched,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
diethylstilbestrol,Withdrawn,estrogen receptor agonist,ESR1|ESR2|ESRRB|ESRRG,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
diflorasone-diacetate,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
difluprednate,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
digitoxigenin,Preclinical,ATPase inhibitor,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
digitoxin,Launched,ATPase inhibitor,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1; ATP1A2; ATP1A3,hard exclusion: narrow-therapeutic-index cardiac glycoside
digoxin,Launched,ATPase inhibitor,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
dihydromyricetin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
dihydroxyacetone,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
diloxanide,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
dimercaprol,Launched,chelating agent,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
dimercaptosuccinic-acid,Launched,chelating agent,DNMT1,other / unclassified,broad epigenetic poison,DNMT1,hard exclusion: broad epigenetic poison
dimesna,Phase 3,tubulin polymerization inhibitor,,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
dimethicone,Launched,,,other / unclassified,,,no annotated mechanism of action
dinaciclib,Phase 3,CDK inhibitor,CDK1|CDK2|CDK5|CDK9,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
dinitolmide,Launched,,,other / unclassified,,,no annotated mechanism of action
dipeptamin,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
diphenylguanidine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
disodium-sebacate,Phase 1,,HBB,other / unclassified,,,no annotated mechanism of action
disulfiram,Launched,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,ALDH2|DBH,ion channel; metabolic; epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
dithranol,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
ditiocarb-sodium-trihydrate,Phase 3,immunostimulant,CA1|CA2|CA4,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
dixanthogen,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
DMH4,Preclinical,VEGFR inhibitor,KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
DMPS,Phase 1,chelating agent,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
docetaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
doconexent-ethyl-ester,Launched,omega 3 fatty acid stimulant,,metabolic,,,no orderable sample (no SMILES or catalogue number)
docosanol,Launched,lipase clearing factor inhibitor,TLR7,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
dodecyl-sulfate,Preclinical,,LYZ,other / unclassified,,,no annotated mechanism of action
dolastatin-10,Phase 2,tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
domiphen,Preclinical,,,other / unclassified,,,no annotated mechanism of action
doramectin,Launched,,,other / unclassified,,,no annotated mechanism of action
dorsomorphin,Preclinical,AMPK inhibitor,ACVR1|BMPR1A|BMPR1B|EPHA2|FKBP1A|FLT1|FLT3|KDR|LCK|MKNK1|PRKAA1|RPS6KA1|SRC,metabolic,anti-angiogenic with juvenile growth-plate toxicity,FLT1; KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
DOTMP,Preclinical,,,other / unclassified,,,no annotated mechanism of action
dovitinib,Phase 3,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
doxifluridine,Launched,thymidylate synthase inhibitor,TYMS,metabolic,broad cytotoxic chemotherapeutic,thymidylate synthase,hard exclusion: broad cytotoxic chemotherapeutic
doxorubicin,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
DpC,Phase 1,,,other / unclassified,,,no annotated mechanism of action
drofenine,Launched,,,other / unclassified,,,no annotated mechanism of action
droloxifene,Phase 3,selective estrogen receptor modulator (SERM),ESR1,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
dromostanolone-propionate,Launched,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
drospirenone,Launched,mineralocorticoid receptor antagonist,AR|NR3C2|PGR,GPCR,systemic sex-steroid manipulation,AR; PGR,hard exclusion: systemic sex-steroid manipulation
DSPC,Preclinical,,,other / unclassified,,,no annotated mechanism of action
DS2-(806622),Preclinical,,,other / unclassified,,,no annotated mechanism of action
dutasteride,Launched,5 alpha reductase inhibitor,SRD5A1|SRD5A2|SRD5A3,metabolic,systemic sex-steroid manipulation,5 alpha reductase,hard exclusion: systemic sex-steroid manipulation
DVD-111,Phase 2,,,other / unclassified,,,no annotated mechanism of action
dydrogesterone,Launched,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
EC-23,Preclinical,retinoid receptor agonist,RARA|RARB|RARG,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB; RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
ecabapide,Phase 3,,,other / unclassified,,,no annotated mechanism of action
ecamsule-triethanolamine,Launched,,,other / unclassified,,,no annotated mechanism of action
echinomycin,Phase 2,DNA intercalating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA intercalat,hard exclusion: broad cytotoxic chemotherapeutic
editol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
elacestrant,Phase 3,estrogen receptor degrader,,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
elacytarabine,Phase 3,antineoplastic agent,DCK,other / unclassified,broad cytotoxic chemotherapeutic,antineoplastic,hard exclusion: broad cytotoxic chemotherapeutic
elagolix,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRHR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
elemene,Phase 3,VEGFR inhibitor,,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
ellagic-acid,Phase 2,glutathione transferase inhibitor|non-nucleoside reverse transcriptase inhibitor,CA1|CA12|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|CSNK2A1|GSK3B|PRKACA|PRKCA|PRKCB|SQLE|SYK,kinase,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
emetine,Phase 2,protein synthesis inhibitor,RPS2,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
emoxipin,Phase 3,,,other / unclassified,,,no annotated mechanism of action
enbucrilate,Launched,,,other / unclassified,,,no annotated mechanism of action
endoxifen,Phase 2,estrogen receptor antagonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
enflurane,Launched,membrane permeability inhibitor,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
enilconazole,Launched,sterol demethylase inhibitor,CYP19A1|CYP1A2|CYP2B6|CYP2C9|CYP2J2|CYP3A4|CYP3A5|NR1I2|PPARA|PTGER2,epigenetic (selective probe),systemic sex-steroid manipulation,CYP19A1,hard exclusion: systemic sex-steroid manipulation
enisamium-iodide,Launched,,,other / unclassified,,,no annotated mechanism of action
ENMD-2076,Phase 2,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor,AURKA|FLT3|KDR|PDGFRA|PTK2|SRC,kinase; growth factor / cytokine,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
enocitabine,Launched,DNA synthesis inhibitor,CMPK1|RRM1|TYMS,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
enoxacin,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
enoxolone,Launched,gap junction modulator,HSD11B1,other / unclassified,systemic glucocorticoid manipulation,HSD11B1,hard exclusion: systemic glucocorticoid manipulation
entasobulin,Preclinical,tubulin polymerization inhibitor,,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
enzalutamide,Launched,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
enzastaurin,Phase 3,PKC inhibitor,AKT1|GSK3B|PRKCA|PRKCB|PRKCD|PRKCG,other / unclassified,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
epiestriol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
epigallocatechin-(-),Phase 2,,,other / unclassified,,,no annotated mechanism of action
epirubicin,Launched,topoisomerase inhibitor,CHD1|TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
epitiostanol,Launched,androgen receptor agonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
epothilone-A,Preclinical,microtubule stabilizing agent,,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
epothilone-B,Phase 3,microtubule stabilizing agent|tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
epothilone-D,Phase 2,microtubule stabilizing agent|tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
epristeride,Preclinical,5 alpha reductase inhibitor,,metabolic,systemic sex-steroid manipulation,5 alpha reductase,hard exclusion: systemic sex-steroid manipulation
equilin,Preclinical,estrogen receptor agonist,HSD17B1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
equol,Launched,estrogen receptor agonist,ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
ER-50891,Preclinical,retinoid receptor antagonist,RARA,GPCR,known plate-fusion or premature-remodeling hazard,RARA,hard exclusion: known plate-fusion or premature-remodeling hazard
eribulin,Launched,microtubule inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
erteberel,Phase 2,estrogen receptor agonist,ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
erythritol,Launched,,,other / unclassified,,,no annotated mechanism of action
erythromycin-ethylsuccinate,Launched,cytochrome P450 inhibitor|protein synthesis inhibitor,ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1,transporter,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
esaprazole,Phase 2,,,other / unclassified,,,no annotated mechanism of action
estetrol,Phase 3,selective estrogen receptor modulator (SERM),ESR1,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
estradiol,Launched,estrogen receptor agonist,ESR1|ESR2|GPER1|KCNMA1|NR1I2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
estradiol-acetate,Launched,estrogen receptor agonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
estradiol-benzoate,Preclinical,contraceptive agent,ESR1,other / unclassified,systemic sex-steroid manipulation,ESR1,hard exclusion: systemic sex-steroid manipulation
estradiol-cypionate,Launched,estrogen receptor agonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
estradiol-valerate,Launched,estrogen receptor agonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
estramustine,Launched,DNA alkylating agent,ESR1|ESR2|MAP1A|MAP2,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
estramustine-phosphate,Launched,DNA synthesis inhibitor|microtubule inhibitor,ESR1|ESR2|MAP1A|MAP2,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
estriol,Launched,estrogen receptor agonist,ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
estrone,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
estropipate,Launched,estrogen receptor agonist,ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
etacrynic-acid,Launched,sodium/potassium/chloride transporter inhibitor,ATP1A1|SLC12A1,transporter,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
ethacridine-lactate-monohydrate,Preclinical,DNA intercalating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA intercalat,hard exclusion: broad cytotoxic chemotherapeutic
ethanolamine-oleate,Launched,immunostimulant,F12|FABP4|FFAR1|FFAR4|PLD2,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
ethimizol,Phase 1,,,other / unclassified,,,no annotated mechanism of action
ethinyl-estradiol,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2|NR1I2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
ethyl-paraben,Preclinical,,,other / unclassified,,,no annotated mechanism of action
ethyl-vanillin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
ethyl-2-(carbamoyloxy)benzoate,Phase 1,,,other / unclassified,,,no annotated mechanism of action
ethynodiol-diacetate,Launched,,ESR1|PGR,other / unclassified,systemic sex-steroid manipulation,ESR1; PGR,hard exclusion: systemic sex-steroid manipulation
ethynylcytidine,Preclinical,antimetabolite,,other / unclassified,broad cytotoxic chemotherapeutic,antimetabolite,hard exclusion: broad cytotoxic chemotherapeutic
etidronic-acid,Launched,bone resorption inhibitor,ATP6V1A|PTPRS,other / unclassified,direct V-ATPase poison,ATP6V1A,hard exclusion: direct V-ATPase poison
etonogestrel,Launched,progesterone receptor agonist,ESR1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
etoposide,Launched,topoisomerase inhibitor,TOP2A|TOP2B,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
