accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE216511	3	Mus musculus	0		Spatiotemporal characterization of human early intervertebral disc formation at single-cell resolution	Intervertebral disc (IVD) performs as a fibrocartilaginous joint to anchor adjacent vertebrae (VB) and is essential for the mechanical stabilization of axial skeleton. Although several studies have demonstrated the cellular heterogeneity of adult mature IVD, a single-cell transcriptomic atlas mapping early IVD formation is still lacking. Here, we generated the first spatiotemporal and single-cell based transcriptomic atlas of human IVD formation at embryonic stage, as well as a comparative mouse transcript landscape. The notochord (NC)/nucleus pulposus (NP) cells, vertebral chondrocytes, and a
GSE216578	5	Homo sapiens	0		Single cell RNA sequence presents atlas analysis for chondrocyte in the talus and reveals potential mechanism in coping with mechanical stress	Chondrocytes are indispensable for the function of cartilage because they provide extracellular matrix. Therefore, gaining insight into the chondrocytes may be helpful in understanding the cartilage function and pinpointing potential therapeutical target for diseases. The talus is a part of ankle joint, which serves as the major large joint that bears body weight. Compared with distal tibial and fibula, the talus bears much more mechanical loading, which is risk factor for osteoarthritis (OA). However, in most individuals, OA seems to be absent in ankle, and cartilage of the talus seems to fun
GSE217738	12	Homo sapiens	0		The effect of crosslinking density on nasal chondrocytes' redifferentiation	In this manucript, we investigate the effect of different crosslinking density of the thiolated hyalonric acid hydrogel as the supporting matrix for monolayer expanded chondrocyte's chondrogenic redifferentiation.A wide ragne of gene expression level was found to be correlated with teh level of crosslinking, and the biological processes and KEGG pathways associated with this panel of genes are related to cell death, immune response, and regulation of various foundamental developmental processes.
GSE217869	6	Homo sapiens	0		Optimization of chondrocyte isolation from human articular cartilage to preserve the chondrocyte transcriptome [run54]	The isolation of chondrocytes from human articular cartilage for single-cell RNA sequencing requires extensive and prolonged tissue digestion at 37 °C. Modulations of the transcriptional activity likely take place during this period such that the transcriptomes of isolated human chondrocytes no longer match their original status in vivo. Here, we optimized the human chondrocyte isolation procedure to maximally preserve the in vivo transcriptome.
GSE217870	40	Homo sapiens	0		Optimization of chondrocyte isolation from human articular cartilage to preserve the chondrocyte transcriptome [run92]	The isolation of chondrocytes from human articular cartilage for single-cell RNA sequencing requires extensive and prolonged tissue digestion at 37 °C. Modulations of the transcriptional activity likely take place during this period such that the transcriptomes of isolated human chondrocytes no longer match their original status in vivo. Here, we optimized the human chondrocyte isolation procedure to maximally preserve the in vivo transcriptome.
GSE217871	46	Homo sapiens	0		Optimization of chondrocyte isolation from human articular cartilage to preserve the chondrocyte transcriptome	This SuperSeries is composed of the SubSeries listed below.
GSE218095	6	Mus musculus	0		Effect of depletion of Mapk7 on  gene expression during vertebral development in  chondrocyte	To investigate the role of Mapk7 in vertebral developmemnt,  we constructed Col2a1-cre;Mapk7f/f transgenic mouse model to delete Mapk7 in cartilage
GSE218830	30	Homo sapiens	0		Loss of collagen X facilitates hypertrophic differentiation and endochondral ossification of human iPSC-derived chondrocytes	To investigate the role of collagen X in human chondrocytes, we established human induced pluripotent stem cells (hiPSC) with heterozygous (COL10A1+/-) or homozygous (COL10A1-/-) deletions of COL10A1 gene using dual guide RNAs and CRISPR/Cas9 system. Several mutant clones were established from each of two standard hiPSCs and differentiated into hypertrophic chondrocytes by the previously reported 3D induction method. Transcriptome analyses of chondrocyte pellets at the hypertrophic phase showed lower expression of proliferating-phase genes and higher expression of calcification-phase genes in 
GSE219238	6	Mus musculus	0		Effect of osteocytes mitochondria on OA chondrocytes	To investigate the regulatory role of MLO-Y4 mitochondria on OA chondrocytes, we isolated mitochondria from MLO-Y4 and transplanted to chondrocytes treated with IL-1β. We then performed gene expression profiling analysis using data obtained from RNA-seq of chondrocytes from vehicle group and mitochondria transplanted group.
GSE219295	3	Homo sapiens	0		long read RNA-seq from chondrocyte (ENCSR470HYQ)	ENC209, ENC210, ENC211 - H9 derived chondrocytes  For data usage terms and conditions, please refer to http://www.genome.gov/27528022 and http://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf
GSE220068	6	Homo sapiens	0		A senescent cell population with ZEB1 transcription factor as its main regulator promotes osteoarthritis in cartilage and meniscus [TC28_FAP_DRUGseq]	To investigate the role of FAP in chondrocytes, we transfected an overexpression vector containing cDNA for FAP (Sino Biological; HG10464-UT) into TC28a2 cells using Lipofectamine 3000. We then performed DRUG-seq analysis to determine the impact of FAP on global gene expression.
GSE220069	6	Homo sapiens	0		A senescent cell population with ZEB1 transcription factor as its main regulator promotes osteoarthritis in cartilage and meniscus [TC28_ZEB1_DRUGseq]	To investigate the role of ZEB1 in chondrocytes, we transfected an overexpression vector containing cDNA for ZEB1 (Sino Biological; HG17705-UT) into TC28a2 cells using Lipofectamine 3000. We then performed DRUG-seq analysis to determine the impact of ZEB1 on global gene expression.
GSE220168	6	Mus musculus	0		Effect of osteocytes mitochondria on chondrocytes	To investigate the regulatory role of MLO-Y4 mitochondria on chondrocytes, we isolated mitochondria from MLO-Y4 and transplanted to chondrocytes. We then performed gene expression profiling analysis using data obtained from RNA-seq of chondrocytes from vehicle group and mitochondria transplanted group.
GSE220487	6	Homo sapiens	0		Next Generation Sequencing Facilitates Quantitative Analysis of undamage chondrocyte and damage chondrocyte whole Transcriptomes	Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare undamage chondrocyte and damage chondrocyte whole transcriptomes
GSE220755	6	Homo sapiens	0		High-throughput RNA-seq analysis of mocetinostat- and DMSO-treated TC28a2 cells	We performed global gene expression analysis in mocetinostat- and DMSO-treated TC28a2 human chondrocyte cells, to study genes regulated by mocesinostat comprehensively.
GSE220781	27	Homo sapiens	0		Mesenchymal stem/stromal cells from human pluripotent stem cell-derived brain organoid enhance the ex vivo expansion and maintenance of hematopoietic stem/progenitor cells	We report a novel method for harvesting MSCs from 3D human brain organoids under serum-free culture condition. The stromal cells, derived from both H1-hESCs and human induced pluripotent stem cells (hiPSCs) forebrain organoids, were capable of differentiating into the classical mesenchymal-derived cells (osteoblasts, chondrocytes, and adipocytes). These cells expressed MSC markers, thus named pluripotent stem cell-derived MSCs (pMSCs).To investigate the role of pMSCs, we compared the RNA sequencing of pMSCs ,umbilical cord-MSC,hiPSCs and H1 hESCs.To investigate the function pMSC  in the regula
GSE221485	16	Mus musculus	0		Next Generation Sequencing of Transcriptomic microRNAs from Murine Articular Chondrocytes Treated with IL-1    	This SuperSeries is composed of the SubSeries listed below.
GSE222109	9	Homo sapiens	0		Recapitulation of endochondral ossification by human pluripotent stem cell-derived SOX9+ sclerotomal progenitors	Regeneration of human cartilage and bone remains a challenge due to the limitations from current stem cell sources. Here, we developed a four-day differentiation strategy that achieved near uniform derivation (>98.5%) of SOX9+ sclerotomal progenitors from multiple human pluripotent stem cells (hPSCs). Importantly, SOX9+ sclerotomal progenitors exhibited typical bipotential of mesenchymal progenitors during skeletal development. Upon lineage-specific induction, they were able to differentiate either into chondroprogenitors that could repair articular cartilage defects and  early chondrocytes th
GSE222449	2	Macaca fascicularis	0		Chondrocyte-like cells in nucleus pulposus and articular chondrocytes have similar transcriptomic profiles and are paracrine-regulated by hedgehog from notochordal cells and subchondral bone	The nucleus pulposus (NP) is composed of notochordal NP cells (NCs) and chondrocyte-like NP cells (CLCs). CLCs and chondrocytes have been reported to be similar. However, the interactions between CLCs and NCs remain unclear. In this study, to clarify how cells in NP and chondrocytes are regulated, we performed single-cell RNA sequencing (scRNA-seq) analysis of articular cartilage (AC) and NP of cynomolgus monkeys and found that part of CLCs and articular chondrocytes had similar gene expression profiles. These cells were enriched for genes related to GLI1, the nuclear mediator of the hedgehog 
GSE224255	16	Mus musculus	0		Effect of Notch2 in chondrocytes	To investigate the role of Notch2 in the inflammatory response in chondrocytes, we cultured primary chondrocytes derived from wild type and Notch2 mutant mice and treated TNFalpha or vehicle. We then performed gene expression profiling analysis using data obtained from RNA-seq of wild type and Notch2 mutant chondrocytes.
GSE224598	3	Homo sapiens; Mus musculus	0		Gene expression of C28/I2 cells in monolayer and spheroid culture	Here we described the transcriptional differences of chondrocytes in monolayer and spheroid cultures.
GSE225429	4	Mus musculus	0		Endothelial LATS2 is a suppressor of bone marrow fibrosis 	The skeletal system vasculature and specialized capillary subtypes regulate crucial elements of bone growth and regeneration. However, little is known about endothelial cell (EC) activation and plasticity during bone remodeling. Here, we demonstrate that the inactivation of the gene encoding Hippo kinase large tumor suppressor kinase 2 (Lats2) in ECs results in the development of a vascular defect in the metaphysis, which favours accumulation of hypertrophic chondrocytes and induces bone marrow fibrosis in the bone.
GSE225446	31	Homo sapiens	0		Skeletal dysplasia-causing TRPV4 mutations suppress the hypertrophic differentiation of human iPSC-derived chondrocytes	To elucidate how TRPV4 mutations cause skeletal dysplasia, we used CRISPR-Cas9-edited hiPSCs harboring the moderate V620I and lethal T89I mutations to differentiate chondrocytes and hypertrophic chondrocytes. We then used mRNA sequencing to analyze differential gene expression between 3 cell lines, 2 time points, and 2 treatments.
GSE225879	4	Mus musculus	0		Genome-wide CRISPR Screening of Chondrocyte Maturation Newly Implicates Multiple Genes in Longitudinal Skeletal Growth and Height-GWAS Associated Loci [GPLC_sorted_RNAseq]	The current study pairs human height GWAS data with CRISPR-based genome-wide knock out (KO) screens using an in vitro assay of chondrocyte proliferation and maturation to identify genes and gene pathways of biological relevance to human growth plate maturation. Our CRISPR screen detects relevant candidates for regulating human growth plate maturation, illustrating the value of functional studies in tissues of biological relevance as orthogonal data sets to refine likely causal genes from large-scale human genetic studies.
GSE225880	14	Mus musculus	0		Genome-wide CRISPR Screening of Chondrocyte Maturation Newly Implicates Multiple Genes in Longitudinal Skeletal Growth and Height-GWAS Associated Loci	This SuperSeries is composed of the SubSeries listed below.
GSE226182	4	Danio rerio	0		The TET-BMP regulatory axis in pathogenesis of CFM [RNA-Seq]	Craniofacial microsomia (CFM) is a congenital defect that usually results from aberrant development of embryonic pharyngeal arches. However, the molecular basis of CFM pathogenesis is largely unknown. Here we employ zebrafish model to investigate the mechanism of CFM pathogenesis. In early embryos, tet2 and tet3 are highly expressed and are essential for pharyngeal cartilage development. Single-cell RNA sequencing and genetic analyses reveal that loss of Tet2/3 impaired chondrocyte differentiation largely due to insufficient BMP signaling. Mechanistically, Tet2/3-mediated 5-hydroxymethylcytosi
GSE226183	4	Danio rerio	0		The TET-BMP regulatory axis in pathogenesis of CFM [scRNA]	Craniofacial microsomia (CFM) is a congenital defect that usually results from aberrant development of embryonic pharyngeal arches. However, the molecular basis of CFM pathogenesis is largely unknown. Here we employ zebrafish model to investigate the mechanism of CFM pathogenesis. In early embryos, tet2 and tet3 are highly expressed and are essential for pharyngeal cartilage development. Single-cell RNA sequencing and genetic analyses reveal that loss of Tet2/3 impaired chondrocyte differentiation largely due to insufficient BMP signaling. Mechanistically, Tet2/3-mediated 5-hydroxymethylcytosi
GSE226184	12	Danio rerio	0		The TET-Sall4-BMP regulatory axis controls craniofacial cartilage development	Craniofacial microsomia (CFM) is a congenital defect that usually results from aberrant development of embryonic pharyngeal arches. However, the molecular basis of CFM pathogenesis is largely unknown. Here, we employ the zebrafish model to investigate mechanisms of CFM pathogenesis. In early embryos, tet2 and tet3 are essential for pharyngeal cartilage development. Single-cell RNA sequencing reveals that loss of Tet2/3 impairs chondrocyte differentiation due to insufficient BMP signaling. Moreover, biochemical and genetic evidence reveals that the sequence-specific 5mC/5hmC-binding protein, Sa
GSE227253	1	Mus musculus	0		Palovarotene action against heterotopic ossification includes the inhibition of local participating activin A-expressing cell populations	Heterotopic ossification (HO) consists of endochondral bone forming at extraskeletal anatomical sites. One form of HO is acquired and instigated by traumas or invasive surgery, and another form is genetic and severe and characterizes patients with Fibrodysplasia Ossificans Progressiva (FOP). Previously, we showed that the synthetic retinoid agonist Palovarotene inhibits both acquired and genetic HO, and we and others subsequently showed that systemic administration of a neutralizing activin A antibody reduces both HO forms as well. Here, we asked whether Palovarotene’s action includes an inter
GSE227483	4	Homo sapiens	0		Gene expression of C28/I2 cells with FABP4	FABP4 has been reported to trigger ADAMTS4 overexpression in chondrocytes. Here we described the transcriptional changes of FABP4-treatment.
GSE227818	11	Mus musculus	0		YAP and TAZ couple osteoblast precursor mobilization to angiogenesis and mechanoregulation in fetal bone development	Fetal bone development occurs by endochondral conversion of avascular cartilage to vascularized bone at the growth plate. This requires coordinated mobilization of osteoblast precursors with blood vessels. In adult bone, vessel-adjacent osteoblast precursors are maintained by mechanical stimuli; however, the mechanisms by which these cells mobilize and respond to mechanical cues during embryonic development are unknown. Here, we unify osteoblast precursor co-mobilization and mechanotransduction in a single signaling pathway, via the mechanosensitive transcriptional regulators YAP and TAZ. We s
GSE229437	12	Homo sapiens	0		Primary Human articular chondrocyte isolation and miR-199a-5p or miR-199b-5p level manipulation	Objective  Animal models of post-traumatic osteoarthritis (PTOA) recapitulate the pathological changes observed in human PTOA. Here we aimed to compare the cartilage transcriptome responses of a non-surgical, mechanically induced rupture of the anterior cruciate ligament (ACL) model and the surgical destabilisation of the medial meniscus (DMM) model.   Methods  Skeletally mature male C57Bl6 mice were subjected to either the non-surgical, mechanical ACL rupture or surgical DMM models and transcriptome profiling performed on micro-dissected cartilage at day 7 and 42 post-procedure, respectively;
GSE229510	8	Mus musculus	0		Transcriptomic analysis of post-traumatic osteoarthritis mouse models identifies miR-199a-5p as a regulator of abnormal mechanical loading in articular cartilage	Objective  Animal models of post-traumatic osteoarthritis (PTOA) recapitulate the pathological changes observed in human PTOA. Here we aimed to compare the cartilage transcriptome responses of a non-surgical, mechanically induced rupture of the anterior cruciate ligament (ACL) model and the surgical destabilisation of the medial meniscus (DMM) model.   Methods  Skeletally mature male C57Bl6 mice were subjected to either the non-surgical, mechanical ACL rupture or surgical DMM models and transcriptome profiling performed on micro-dissected cartilage at day 7 and 42 post-procedure, respectively;
GSE230133	6	Mus musculus	0		Gene comparison between flat and round shaped chondrocytes in cranial base synchondrosis	The aim of this study is to characterize each zones of chondrocytes and identify the associated unique molecules.
GSE230163	13	Mus musculus	0		FAM3A Reshapes Vascular Smooth Muscle Cell Fate Specification in Abdominal Aortic Aneurysm by Regulating KLF4 Ubiquitination	Vascular smooth muscle cell (VSMC) differentiation reprogramming plays an essential role in abdominal aortic aneurysm (AAA). However, the underlying mechanisms are still indistinct. FAM3A (family with sequence similarity 3, member A) is a newly identified metabolism regulator. We examined FAM3A expression and the downstream pathways affected by FAM3A in AAA, and how FAM3A regulated VSMC differentiation. We found that overexpression or supplement of FAM3A significantly attenuated the progression of AAA, manifested by maintenance of VSMC well-differentiation state and inhibition of VSMC transfor
GSE230195	6	Homo sapiens	0		Human PSC-derived articular cartilage chondrocytes scRNA-seq	Objectives Traditional approaches to study Progressive Pseudorheumatoid Arthropathy of Childhood (PPAC) failed to uncover how loss-of-function mutations in Wnt inducible secreted protein 3 (WISP3) cause premature cartilage failure in children. We developed a human induced pluripotent stem cell (hiPSC)-based model of cartilage development to elucidate pathological changes in WISP3-deficient articular cartilage tissues compared to WISP3-sufficient isogenic cartilage tissues.    Methods We generated iPSCs from 2 patients with PPAC, and we corrected the disease-causing mutation in one of these lin
GSE230231	1	Mus musculus	0		Pre-Hypertrophic Chondrogenic Enhancer Landscape of Limb and Axial Skeleton Development [scRNA-seq]	The precisely orchestrated differentiation of chondrocytes during skeleton development is a critical determinant of human height and body shape. Disruptions of this process can cause severe skeletal abnormalities. The ultimate size and shape of each of over 200 bones depends on the intricate spatiotemporal regulation of chondrogenic and chondrocyte differentiation genes, but the genomic architecture coordinating these events remains poorly defined. Here we provide a comprehensive map of transcriptional enhancers specifically active in chondrocytes and show that they provide a mechanistic frame
GSE230232	8	Mus musculus	0		Pre-Hypertrophic Chondrogenic Enhancer Landscape of Limb and Axial Skeleton Development [RNA-seq]	The precisely orchestrated differentiation of chondrocytes during skeleton development is a critical determinant of human height and body shape. Disruptions of this process can cause severe skeletal abnormalities. The ultimate size and shape of each of over 200 bones depends on the intricate spatiotemporal regulation of chondrogenic and chondrocyte differentiation genes, but the genomic architecture coordinating these events remains poorly defined. Here we provide a comprehensive map of transcriptional enhancers specifically active in chondrocytes and show that they provide a mechanistic frame
GSE230235	61	Mus musculus	0		Pre-Hypertrophic Chondrogenic Enhancer Landscape of Limb and Axial Skeleton Development	The precisely orchestrated differentiation of chondrocytes during skeleton development is a critical determinant of human height and body shape. Disruptions of this process can cause severe skeletal abnormalities. The ultimate size and shape of each of over 200 bones depends on the intricate spatiotemporal regulation of chondrogenic and chondrocyte differentiation genes, but the genomic architecture coordinating these events remains poorly defined. Here we provide a comprehensive map of transcriptional enhancers specifically active in chondrocytes and show that they provide a mechanistic frame
GSE230500	2	Rattus norvegicus	0		Single-cell genomic profile of articular chondrocytes from CIA rats	The inflammation of articular cartilage in RA is caused by pro-inflammatory factors secreted by the synovium. However, a recent study has shown that chondrocytes in RA patients can spontaneously secrete pro-inflammatory cytokines and MMPs, which undoubtedly provided new thinking for the treatment of RA diseases. We built a CIA model in rats, took the knee cartilage for single-cell sequencing, and sought to verify whether the contribution of chondrocytes to the inflammatory response in CIA rats was consistent with that of cartilage in RA patients. Our present work is the first to show the genom
GSE230630	6	Rattus norvegicus	0		constructing condylar organoid to explore its difference to the traditional two-dimensional (2D) culture condylar chondrocyte	An organoid culture system can better recapitulate the cellular structure, function, and interaction between cells and the extracellular matrix (ECM) than the traditional two-dimensional (2D) culture system. We here constructed a condylar cartilage organoid and utilized it to explore the regulatory role of primary cilia at the organoid level. RNA sequencing unveiled the differences of transcriptomics between the condylar cartilage organoid and 2D culture chondrocytes.
GSE230800	6	Mus musculus	0		Predisposal of Interferon Regulatory Factor 1 Deficiency to Accumulate DNA Damage and Promote Osteoarthritis Development in Cartilage [RNA-seq]	To investigate the function of IRF1 in chondrocytes, we performed transcriptome analysis in priamry mouse articular chondrocytes. Using control and Irf1 siRNA, gene expression profiles were analyzed in depletion of Irf1
GSE231325	9	Xenopus tropicalis	0		LCM-RNA-Seq data obtained from Xenopus tropicalis chondrocytes and osteoblasts	LCM-RNA-Seq data obtained from Xenopus tropicalis chondrocytes and osteoblasts at different stages of differentiation -immature chondrocytes and mature (hypertrophic) chondrocytes- isolated from the ceratohyal. Osteoblasts isolated from the mandible (dentary bone).
GSE231925	21	Mus musculus	0		RNAseq of ATDC5 cells with mechanotransductive perturbations	Chondrocyte phenotype is preserved when cells are round and the actin cytoskeleton is cortical. Conversely, these cells rapidly dedifferentiate in vitro with increased mechanoactive Rho signaling, which increases cell size and causes large actin stress fiber to form. While the effects of Rho on chondrocyte phenotype are well established, the molecular mechanism is not yet fully elucidated. Yap, a transcriptional co-regulator, is regulated by Rho in a mechanotransductive manner and can suppress chondrogenesis in vivo. Here, we sought to elucidate the relationship between mechanoactive Rho and Y
GSE232109	2	Homo sapiens	0		Recapitulation of endochondral ossification by human pluripotent stem cell-derived SOX9+ sclerotomal progenitors	Regeneration of human cartilage and bone remains a challenge due to the limitations from current stem cell sources. Here, we developed a four-day differentiation strategy that achieved near uniform derivation (>98.5%) of SOX9+ sclerotomal progenitorsfrom multiple human pluripotent stem cells (hPSCs). Importantly, SOX9+ sclerotomal progenitors exhibited typical bipotential of mesenchymal progenitors during skeletal development. Upon lineage-specific induction, they were able to differentiate either into chondroprogenitors that could repair articular cartilage defects or early chondrocytes that 
GSE232206	18	Mus musculus	0		Transcriptomic analysis of post-traumatic osteoarthritis mouse models identifies miR-199a-5p as a regulator of abnormal mechanical loading in articular cartilage (RNA-Seq)	Objective  Animal models of post-traumatic osteoarthritis (PTOA) recapitulate the pathological changes observed in human PTOA. Here we aimed to compare the cartilage transcriptome responses of a non-surgical, mechanically induced rupture of the anterior cruciate ligament (ACL) model and the surgical destabilisation of the medial meniscus (DMM) model.   Methods  Skeletally mature male C57Bl6 mice were subjected to either the non-surgical, mechanical ACL rupture or surgical DMM models and transcriptome profiling performed on micro-dissected cartilage at day 7 and 42 post-procedure, respectively;
GSE232325	2	Mus musculus	0		Effect of depletion of Myl3 in primary chondrocytes from mice	To investigate the function of Myl3 in in primary chondrocytes, we generated Col2a1-Cre: Myl3fl/fl (Myl3-KO) conditional knockout mice.We then performed RNA sequencing analysis with primary chondrocytes from Myl3-KO or control mice.
GSE232611	6	Mus musculus	0		Gene expression alteration in murine chondrogenic cell line ATDC5 cells by IL-1β and Fascin1 inhibitor NP-G2-044 treatment	To investigate the protective effect of Fascin1 inhibitor NP-G2-044 against chondrocyte dedifferentiation, we  stimulated murine chondrogenic cell line ATDC5 cells with  IL-1β to induce dedifferentiation, and with or without  NP-G2-044 treatment. Gene expression profiling analysis was performed using data obtained from RNA-seq of three independent experiments.
GSE233188	4	Homo sapiens	0		In vivo clonal tracking of human skeletal stem cells with single cell RNA-sequencing readout	10X Genomics single cell RNA-sequencing of freshly isolated human skeletal stem cells from the growth plate or periosteum of 17 weeks gestational age fetal bone tissue were collected. The goal of this work was to trace single cell dynamics of human skeletal stem cells in an in vivo setting. Single barcoded human skeletal stem cells were tracked in the graft tissue they formed after xenotransplanation into mice. Single cell analysis assessed tissue composition and was overlayed with barcode readouts to find contributions of individual clones. Differences in stem cell properties and lineage dyna
GSE233843	3	Mus musculus	0		Palovarotene action against heterotopic ossification includes the inhibition of local participating activin-A expressing cell populations	Heterotopic ossification (HO) consists of extraskeletal bone formation. One form of HO is acquired and instigated by traumas or surgery, and another form is genetic and characterizes Fibrodysplasia Ossificans Progressiva (FOP). We and others showed that activin A promotes both acquired and genetic HO and found that the retinoid agonist Palovarotene inhibits both HO forms in mice.  We asked whether Palovarotene's action against HO may include an interference with endogenous activin A expression and/or function. Using a mouse model of acquired HO, we found that activin A and its encoding RNA (In
GSE234176	12	Mus musculus	0		Role of growth plate Nox2 in alcoholic osteopenia	To study the role of Nox2 in ethanol toxicity on the bone growth plate chondrocytes, we generated Nox2 conditional knockout mice (CKO), in which the catalytic subunit of Nox2, Cybb, is deleted in chondrocytes using a Cre-lox system, where Cre is expressed from the Col2a1 promoter.  CKO mice and floxed control mice were fed an ethanol-containing Lieber De-Carli-based diet or pair-fed a control diet for 8 weeks starting at 5-6 weeks of age. As both the Nox2 genotype and ethanol diminished the number of chondrocytes in the growth plates, we conducted an RNA-Seq analysis of the growth-plate contai
GSE234702	7	Homo sapiens	0		Single-cell genomic profile of articular chondrocytes from rheumatoid arthritis and osteoarthritis patients	The role of cartilage tissue and chondrocytes in the pathogenesis of rheumatoid arthritis (RA) has been underexplored despite extensive research on synovial tissue. This study utilized single-cell RNA sequencing (scRNA-seq) to compare the genomic profiles of articular chondrocytes in RA and osteoarthritis (OA) patients.
GSE234821	12	Homo sapiens	0		Detection on the effect of TLR stimulation and NOS inhibition on human chondrocytes.	To enlarge our understanding on the effect of TLR1/2 stimulation to human chondrocytes and how NOS inhibition blocks this stimulatory effects, we planned to apply RNAseq analysis to human chondrocytes that are treated with TLR1/2 agonists and NOS inhibitor.
GSE235008	21	Homo sapiens	0		mRNA expression profiles of engineered chondrocyte sheets	Cartilage injury does not naturally repair and lead to osteoarthritis.  Engineered chondrocyte sheets are readily transplantable and create neocartilage in vivo.  This experiment compares global mRNA profiling of adult and juvenile chondrocyte sheets.
GSE235082	12	Homo sapiens	0		Effect of Sirt6 depletion on gene expression of primary human chondrocytes	To define the effect of SIRT6-mediated transcriptional regulation, RNA-sequencing was conducted on primary human chondrocytes depleted of SIRT6 and compared to cells nucleofected with a scrambled siRNA control (72 hours).
GSE236686	4	Mus musculus	0		Sfrp4 is Required to Maintain Ctsk-Lineage Periosteal Stem Cell Niche Function	The periosteum contains cells which function as a reservoir of stem cells and progenitors and contribute to cortical expansion during growth, cortical bone homeostasis and repair. However, the local or paracrine factors that govern stem cell renewal and differentiation within the periosteal niche remains elusive. Cathepsin K (Ctsk) together with additional cell surface markers marks a subset of stem cells in the periosteum (PSC) which possess self-renewal ability and inducible multipotency. These PSCs produce osteoblasts mediating periosteal bone formation and fracture repair. Sfrp4 is express
GSE236909	8	Sus scrofa	0		Lgr5-expressing secretory cells form a Wnt inhibitory niche in cartilage critical for chondrocyte identity	We performed gene expression profiling analysis using data obtained from RNA-seq of condylar cartilage cells from post-traumatic temporomandibular joint osteoarthritis model to investigate the signaling pathways critical for cellular functions during  temporomandibular joint osteoarthritis pathology.
GSE237011	6	Homo sapiens	0		RNA-Seq of chondrocyte with or without FASN knockdown	Purpose: RNA-Seq was used to detect the dwonstream genes after FASN knockdow. Method: Three chondrocyte total RNA profiles of Si-NC samples and Si-FASN  samples were analyzed.
GSE237298	6	Homo sapiens	0		RNA-Seq of chondrocyte with or without CircRREB1 knockdown	Purpose: RNA-Seq was used to detect the dwonstream genes after CircRREB1 knockdow. Method: Three chondrocyte total RNA profiles of Si-NC samples and Si-CircRREB1  samples were analyzed.
GSE237786	4	Homo sapiens	0		Compartment Specific Mechanical Loading of Bi-Layered Osteochondral Micro-Tissues in a Joint-on-Chip System suggests routes for Osteoarthritis pathogenesis investigation	In this work we engineered an osteochondral unit (OCU) on-chip model where osteoarthritis (OA) phenotype is recapitulated through the application of hyper-physiological mechanical loading. After a functional and biological validation of the device, we aimed to better characterize the diversity of the human articular chondrocytes (hACs) population present in our in vitro model and identify subpopulations responsible for the pathological loading response. As a method, we applied single-cell RNA sequencing (scRNA-seq) to hACs from both on-chip single cultures and co-cultures with bone marrow deri
GSE237887	2	Mus musculus	0		Regulatory mechanism of Sox9 gene expression in chondrocytes [RNA-seq]	The transcription factor Sox9 (Sry-Related HMG-Box gene 9) is essential in chondrogenesis. The expression Sox9 is regulated by 1.5Mb long range genomic region in temporospatial manner and genome translocation or deletion which affect Sox9 expression cause campomelic dysplasia (CD), characterized by skeletal malformations. Although functional mechanism of Sox9 are well studied so far, regulatory mechanism of Sox9 expression and its related enhancer in chondrocytes are largely remains to be elucidated. The purpose of this study is to identify Sox9 enhancers in chondrocytes
GSE237889	13	Mus musculus	0		Regulatory mechanism of Sox9 gene expression in chondrocytes	This SuperSeries is composed of the SubSeries listed below.
GSE238244	14	Mus musculus	0		Phenolic acids prevent sex-steroid deficiency-induced bone loss and bone marrow adipogenesis in mice	Phenolic acids, such as hippuric acid (HA) and 3-(3-hydroxyphenyl) propionic acid (3-3-PPA), are present in the human body throughout life from microbiome digestion of polyphenols. Previous studies showed significant effects of HA and 3-3-PPA on facilitating bone development, however, if these phytochemicals protect bone from degeneration and their mechanism of actions for doing so are unknown. In this report, we present that HA and 3-3-PPA suppression of bone resorption is able to ameliorate bone loss in an ovariectomy (OVX) osteopenic mouse model though not to the extent of Zoledronic acid (
GSE240299	24	Rattus norvegicus	0		miRNA and mRNA transcriptome profiling of chondrocytes in proliferative zone of acetabular cartilage in developmental dysplasia of the hip	Developmental dysplasia of the hip (DDH) is a complex and multifactorial disease with an unclear pathogenesis, and the non-coding RNAs have been found important effect in many diseases. However, their contributions to the pathogenesis of DDH are not well-established. Growth of the acetabular cartilage mainly depends on the regulation of chondrocytes in proliferative zone. Here, we report on some new regulatory mechanisms of gene expression underlying the development of DDH by transcriptome profiling of proliferative zone microdissected from the acetabular cartilage. These results provide origi
GSE240387	8	Homo sapiens	0		Functional and molecular impact of triamcinolone acetonide on primary human bone marrow mesenchymal stem cells	Joint pain, either traumatic or degenerative, is a common cause of morbidity. Triamcinolone acetonide (TA), a common glucocorticoid, has been used as symptomatic treatment for joint pain for decades. However, besides its relatively short-lived therapeutic effects, TA may have potentially devastating effects by altering the normal healing process to restore and maintain the cellular entities that contribute to tissue regeneration of the synovial joint. Mesenchymal stem cells (MSCs) have been shown to hold great potential in tissue regeneration due to their multipotency in regenerating osteoblas
